method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-U260,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,106,60,0.5660377358490566,0.374811320754717,39.730000000000004,18,14,4,1,0.11879525759848306,45,28,0.6222222222222222,0.5182222222222223,23.32,7,5,2,1,0.18058359067506627,31,17,0.5483870967741935,0.36129032258064514,11.2,5,5,0,0,0.228018458946933,30,15,0.5,0.17366666666666666,5.21,6,4,2,1,0.21972683319534203,P00191,TRAVEL_CIRCADIAN,THIRD_DOWN,THIRD_DOWN+TRAVEL_CIRCADIAN,0.7777777777777778,3.127823194210478,B
NFL-U288,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,DOG35_49,AWAY,110,60,0.5454545454545454,0.3066363636363636,33.73,17,14,3,1,0.11557769301995649,49,28,0.5714285714285714,0.3828571428571429,18.76,8,6,2,1,0.17488626041411218,25,12,0.48,0.17880000000000001,4.470000000000001,3,3,0,0,0.25333003506624846,36,20,0.5555555555555556,0.2916666666666667,10.5,6,5,1,1,0.19724591854066933,P00228,TRAVEL_CIRCADIAN,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+TRAVEL_CIRCADIAN,0.8235294117647058,3.0011,B
NFL-U309,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,recent_edge_punt_return_average,>=,0.0,DOG35_49,AWAY,82,47,0.573170731707317,0.36646341463414633,30.05,14,9,5,2,0.1326700271429625,33,21,0.6363636363636364,0.5063636363636362,16.709999999999997,6,4,2,1,0.2038106751922334,20,11,0.55,0.417,8.34,3,2,1,1,0.29706201727124787,29,15,0.5172413793103449,0.1724137931034482,4.999999999999998,5,3,2,1,0.21553213741624525,P00197,TRAVEL_CIRCADIAN,SPECIAL_TEAMS,SPECIAL_TEAMS+TRAVEL_CIRCADIAN,0.6428571428571429,2.8678585492428224,C
NFL-U327,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,69,36,0.5217391304347826,0.26362318840579707,18.189999999999998,13,10,3,2,0.148219752727688,31,15,0.4838709677419355,0.17193548387096774,5.33,6,3,3,2,0.222986773008007,18,9,0.5,0.2511111111111111,4.5200000000000005,3,3,0,0,0.30715635337328523,20,12,0.6,0.417,8.34,4,4,0,0,0.267704766683866,P00201,TRAVEL_CIRCADIAN,PASSING,PASSING+TRAVEL_CIRCADIAN,0.7692307692307693,2.796697999227528,C
NFL-U355,NEW_CONTEXT,LONG,UNIVARIATE,westward_tz_hours,>=,2.0,,,,DOG35_49,ANY,135,67,0.4962962962962963,0.20318518518518516,27.429999999999996,19,14,5,2,0.10572405082919985,44,22,0.5,0.21750000000000005,9.570000000000002,8,5,3,1,0.18735984895946667,37,17,0.4594594594594595,0.1213513513513514,4.490000000000002,5,4,1,1,0.20482548133014714,54,28,0.5185185185185185,0.24759259259259256,13.369999999999997,6,5,1,1,0.16670941489202032,C00159,TRAVEL_CIRCADIAN,,TRAVEL_CIRCADIAN,0.7368421052631579,2.6599079382357846,B
NFL-U412,CONTEXT_CORE_PAIR,LONG,PAIR,westward_tz_hours,>=,1.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,70,40,0.5714285714285714,0.373,26.11,12,9,3,2,0.14473683550774158,33,21,0.6363636363636364,0.5248484848484849,17.32,6,5,1,1,0.20665679406348755,16,9,0.5625,0.38125,6.1,2,2,0,0,0.31763956906111895,21,10,0.47619047619047616,0.12809523809523807,2.6899999999999995,4,2,2,2,0.26658119378496786,P00193,TRAVEL_CIRCADIAN,THIRD_DOWN,THIRD_DOWN+TRAVEL_CIRCADIAN,0.75,2.332012375022991,C
NFL-U431,NEW_CONTEXT,LONG,UNIVARIATE,westward_tz_hours,>=,2.0,,,,DOG35_44,ANY,107,50,0.4672897196261682,0.1840186915887851,19.690000000000005,16,13,3,2,0.12329799549916401,38,18,0.47368421052631576,0.19105263157894742,7.260000000000002,6,4,2,2,0.20736228337885282,30,13,0.43333333333333335,0.10666666666666665,3.1999999999999993,5,4,1,1,0.23604467399754092,39,19,0.48717948717948717,0.23666666666666658,9.229999999999997,5,5,0,0,0.2065157692113933,C00157,TRAVEL_CIRCADIAN,,TRAVEL_CIRCADIAN,0.8125,2.152169045510203,B
NFL-U454,NEW_CONTEXT,MODERN,UNIVARIATE,adv_returning_ol_snap_share,<=,-0.214747128979234,,,,FAV55_65,AWAY,65,46,0.7076923076923077,0.1928242887558929,12.533578769133038,12,9,3,1,0.09621234977134946,25,16,0.64,0.07769445433275086,1.9423613583187715,5,4,1,1,0.16562577185928465,20,16,0.8,0.35881443892602005,7.176288778520401,4,3,1,1,0.15682246222166144,20,14,0.7,0.17074643161469338,3.4149286322938677,3,2,1,1,0.176304121498266,C00244,ROSTER_CONTINUITY,,ROSTER_CONTINUITY,0.75,1.9037528436990216,C
NFL-U464,EXISTING_1859,MODERN,UNIVARIATE,adv_returning_skill_snap_share,>=,0.0763291543109011,,,,PK_55,ANY,101,63,0.6237623762376238,0.18097169318146278,18.27814101132774,12,9,3,1,0.09181435658987054,33,22,0.6666666666666666,0.2739376531995039,9.039942555583629,5,4,1,1,0.1593940022479368,41,25,0.6097560975609756,0.1411135509878077,5.785655590500116,4,3,1,1,0.14444379421262465,27,16,0.5925925925925926,0.12787195797199993,3.4525428652439984,3,2,1,1,0.18362095193562128,E1253,ROSTER_CONTINUITY,,ROSTER_CONTINUITY,0.75,1.6451741257891488,B
NFL-U472,EXISTING_1859,MODERN,UNIVARIATE,adv_returning_offense_snap_share,<=,-0.1096539482009013,,,,FAV75_85,ANY,73,65,0.8904109589041096,0.13581578996273502,9.914552667279656,11,10,1,1,0.0471785472068072,28,24,0.8571428571428571,0.10396336214011083,2.9109741399231033,5,4,1,1,0.08697211750117799,22,21,0.9545454545454546,0.21316394996737403,4.689606899282229,4,4,0,0,0.05834882298047757,23,20,0.8695652173913043,0.10060746209018802,2.3139716280743245,2,2,0,0,0.09131159306208946,E1360,ROSTER_CONTINUITY,,ROSTER_CONTINUITY,0.9090909090909091,1.2699149467446236,C
