method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-U011,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0,rank_edge_punt_return_average,>=,-9.0,DOG35_49,ANY,676,333,0.492603550295858,0.16445266272189352,111.17000000000002,20,15,5,2,0.045945343318089964,290,139,0.4793103448275862,0.1352068965517241,39.209999999999994,9,7,2,1,0.07023609235603341,176,85,0.48295454545454547,0.13630681818181817,23.99,5,4,1,1,0.08989418372323553,210,109,0.5190476190476191,0.22842857142857145,47.970000000000006,6,4,2,2,0.08262788874173702,E0007,THIRD_DOWN,SPECIAL_TEAMS,SPECIAL_TEAMS+THIRD_DOWN,0.75,5.061271396262901,B
NFL-U012,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0,recent_edge_punt_return_average,>=,4.326388888888889,DOG35_49,AWAY,150,85,0.5666666666666667,0.35319999999999996,52.98,20,14,6,2,0.09808544510469952,71,39,0.5492957746478874,0.2985915492957747,21.200000000000003,9,6,3,2,0.14215449070058947,35,20,0.5714285714285714,0.37485714285714283,13.12,5,4,1,1,0.20651789815147442,44,26,0.5909090909090909,0.4240909090909091,18.66,6,4,2,2,0.18303909579661992,E0015,THIRD_DOWN,SPECIAL_TEAMS,SPECIAL_TEAMS+THIRD_DOWN,0.7,4.883590220618235,A
NFL-U013,EXISTING_1859,LONG,PAIR,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,rank_edge_def_allowed_yards_per_play,<=,-1.0,DOG35_49,AWAY,365,186,0.5095890410958904,0.2276986301369863,83.11,20,14,6,2,0.0637225037206274,158,80,0.5063291139240507,0.23082278481012658,36.47,9,7,2,1,0.09775967308707624,89,40,0.449438202247191,0.10134831460674157,9.02,5,2,3,2,0.13118587650102073,118,66,0.559322033898305,0.318813559322034,37.62000000000001,6,5,1,1,0.10939737007371664,E0012,PASS_PROTECTION_RUSH,EFFICIENCY,EFFICIENCY+PASS_PROTECTION_RUSH,0.7,4.810027823428444,B
NFL-U014,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,529,274,0.5179584120982986,0.21831758034026466,115.49000000000001,20,17,3,2,0.051682876863272664,234,123,0.5256410256410257,0.24294871794871792,56.849999999999994,9,8,1,1,0.07814366020980806,150,78,0.52,0.22573333333333334,33.86,5,5,0,0,0.09763775201704046,145,73,0.503448275862069,0.17089655172413795,24.78,6,4,2,2,0.09777191757502118,P00310,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.783994505956656,A
NFL-U015,EXISTING_1859,LONG,PAIR,recent_edge_punt_return_average,>=,0.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,278,150,0.539568345323741,0.28208633093525176,78.41999999999999,20,16,4,1,0.07193914622461112,124,68,0.5483870967741935,0.3101612903225806,38.459999999999994,9,8,1,1,0.10829526760900621,74,38,0.5135135135135135,0.21581081081081085,15.970000000000002,5,4,1,1,0.13998598421892092,80,44,0.55,0.299875,23.99,6,4,2,1,0.13391919604014196,E0037,SPECIAL_TEAMS,THIRD_DOWN,SPECIAL_TEAMS+THIRD_DOWN,0.8,4.752324642484934,A
NFL-U016,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,rank_edge_def_allowed_yards_per_play,<=,-1.0,DOG35_49,AWAY,275,140,0.509090909090909,0.22272727272727272,61.25,20,17,3,1,0.0731955099359952,113,53,0.4690265486725664,0.1434513274336283,16.209999999999997,9,7,2,1,0.1157381473011389,68,34,0.5,0.1983823529411765,13.490000000000002,5,4,1,1,0.14813704269833441,94,53,0.5638297872340425,0.3356382978723404,31.549999999999997,6,6,0,0,0.12298911556138395,E0010,SPECIAL_TEAMS,EFFICIENCY,EFFICIENCY+SPECIAL_TEAMS,0.85,4.698697977924488,A
NFL-U017,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_off_epa_per_play,<=,-10.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,172,99,0.5755813953488372,0.37720930232558136,64.88,20,15,5,1,0.09148142710409538,67,42,0.6268656716417911,0.5253731343283582,35.199999999999996,9,8,1,1,0.14626765061173835,48,24,0.5,0.20020833333333332,9.61,5,3,2,1,0.17750823814249167,57,33,0.5789473684210527,0.3521052631578947,20.069999999999997,6,4,2,1,0.1557624824210133,E0072,EFFICIENCY,THIRD_DOWN,EFFICIENCY+THIRD_DOWN,0.75,4.635032165088278,A
NFL-U018,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,151,86,0.5695364238410596,0.34562913907284765,52.19,19,16,3,1,0.09666192769805551,77,43,0.5584415584415584,0.3063636363636364,23.590000000000003,9,7,2,1,0.134697822501203,40,22,0.55,0.343,13.72,5,5,0,0,0.19721074241297537,34,21,0.6176470588235294,0.4376470588235294,14.879999999999999,5,4,1,1,0.1988752055533151,E0041,EFFICIENCY,THIRD_DOWN,EFFICIENCY+THIRD_DOWN,0.8421052631578947,4.634041055260327,A
NFL-U019,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,rank_edge_rush_epa_per_carry,>=,6.0,DOG35_49,AWAY,278,146,0.5251798561151079,0.24244604316546758,67.39999999999999,20,15,5,2,0.07172880623324611,114,59,0.5175438596491229,0.22921052631578942,26.129999999999995,9,5,4,2,0.11271432996347759,76,36,0.47368421052631576,0.1568421052631579,11.92,5,4,1,1,0.14234455486308203,88,51,0.5795454545454546,0.3335227272727273,29.35,6,6,0,0,0.12295230189633416,E0014,SPECIAL_TEAMS,RUSHING,RUSHING+SPECIAL_TEAMS,0.75,4.629301746948881,A
NFL-U020,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0838612368024132,rank_edge_punt_return_average,>=,-9.0,DOG35_49,AWAY,197,109,0.5532994923857868,0.31548223350253807,62.15,20,13,7,2,0.08529612757418714,86,50,0.5813953488372093,0.3723255813953489,32.02,9,7,2,1,0.12756186497483427,54,25,0.46296296296296297,0.1062962962962963,5.74,5,2,3,2,0.16516499517805236,57,34,0.5964912280701754,0.42789473684210527,24.39,6,4,2,2,0.15884071261042634,E0019,THIRD_DOWN,SPECIAL_TEAMS,SPECIAL_TEAMS+THIRD_DOWN,0.65,4.601460558948724,B
NFL-U021,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_def_allowed_early_down_epa,<=,-6.0,DOG35_49,AWAY,80,52,0.65,0.54,43.2,15,12,3,2,0.12881924830621086,44,28,0.6363636363636364,0.5295454545454545,23.3,7,6,1,1,0.17850949558882223,16,12,0.75,0.74375,11.9,3,3,0,0,0.26474496375442785,20,12,0.6,0.4,8.0,5,3,2,2,0.265092833789063,P00060,QB_CONTEXT,EFFICIENCY,EFFICIENCY+QB_CONTEXT,0.8,4.600756173082569,B
NFL-U022,EXISTING_1859,LONG,PAIR,rank_edge_rush_epa_per_carry,>=,15.0,rank_edge_third_down_success,>=,-6.0,DOG35_49,AWAY,116,67,0.5775862068965517,0.35422413793103447,41.089999999999996,20,16,4,2,0.10914868549441381,55,30,0.5454545454545454,0.2656363636363636,14.61,9,6,3,2,0.15854892576436647,32,18,0.5625,0.3596875,11.51,5,5,0,0,0.21849765831355733,29,19,0.6551724137931034,0.5162068965517241,14.97,6,5,1,1,0.20971856216963342,E0022,RUSHING,THIRD_DOWN,RUSHING+THIRD_DOWN,0.8,4.594917057901653,B
NFL-U023,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-14.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,113,63,0.5575221238938053,0.34761061946902655,39.28,18,14,4,2,0.11470674382371385,38,20,0.5263157894736842,0.30736842105263157,11.68,7,5,2,1,0.20567921141921996,34,16,0.47058823529411764,0.14470588235294118,4.92,5,3,2,2,0.2132509736690256,41,27,0.6585365853658537,0.5531707317073171,22.68,6,6,0,0,0.17947397359532766,E0009,EFFICIENCY,RED_ZONE,EFFICIENCY+RED_ZONE,0.7777777777777778,4.564159944621155,B
NFL-U024,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,DOG35_49,AWAY,193,107,0.5544041450777202,0.32803108808290155,63.31,19,14,5,2,0.08684461124257951,102,55,0.5392156862745098,0.3103921568627451,31.660000000000004,8,6,2,1,0.1217328551105609,43,26,0.6046511627906976,0.4134883720930233,17.78,5,4,1,1,0.17845990697229244,48,26,0.5416666666666666,0.2889583333333333,13.87,6,4,2,2,0.17472781253624098,P00066,QB_CONTEXT,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+QB_CONTEXT,0.7368421052631579,4.548089816014977,A
NFL-U025,EXISTING_1859,LONG,PAIR,rank_edge_third_down_success,>=,0.0,rank_edge_def_allowed_early_down_epa,<=,-10.0,DOG35_49,AWAY,168,99,0.5892857142857143,0.41369047619047616,69.5,20,15,5,2,0.0923690805700969,68,45,0.6617647058823529,0.6163235294117646,41.90999999999999,9,7,2,1,0.14284499608517756,50,26,0.52,0.2558,12.790000000000001,5,4,1,1,0.17436744921842143,50,28,0.56,0.29600000000000004,14.8,6,4,2,2,0.1656039041243427,E0177,THIRD_DOWN,EFFICIENCY,EFFICIENCY+THIRD_DOWN,0.75,4.539326023050143,A
NFL-U026,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_third_down_success,>=,0.0484393846893847,DOG35_49,AWAY,154,90,0.5844155844155844,0.3899350649350649,60.05,19,14,5,1,0.09582200348226899,77,44,0.5714285714285714,0.3827272727272727,29.47,8,5,3,1,0.1388734624157925,35,25,0.7142857142857143,0.6582857142857144,23.040000000000003,5,4,1,1,0.18235918279214638,42,21,0.5,0.1795238095238095,7.539999999999999,6,5,1,1,0.18592298943409502,P00062,QB_CONTEXT,THIRD_DOWN,QB_CONTEXT+THIRD_DOWN,0.7368421052631579,4.534457829543409,A
NFL-U027,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,224,124,0.5535714285714286,0.31611607142857145,70.81,20,16,4,1,0.08000949867813469,93,53,0.5698924731182796,0.3661290322580644,34.04999999999999,9,8,1,1,0.12500706219022273,61,34,0.5573770491803278,0.3350819672131148,20.44,5,4,1,1,0.1558610181920036,70,37,0.5285714285714286,0.23314285714285715,16.32,6,4,2,1,0.14128844303364424,E0132,PASSING,THIRD_DOWN,PASSING+THIRD_DOWN,0.8,4.534416207361461,A
NFL-U028,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_punt_return_average,>=,-5.0,DOG35_49,ANY,322,177,0.5496894409937888,0.28726708074534163,92.5,20,15,5,2,0.06574015596701722,140,82,0.5857142857142857,0.3729285714285715,52.21000000000001,9,6,3,1,0.09918301915696645,84,45,0.5357142857142857,0.2569047619047619,21.580000000000002,5,5,0,0,0.12976765239630172,98,50,0.5102040816326531,0.1909183673469388,18.71,6,4,2,2,0.11954610197433643,P00313,REST_SCHEDULING,SPECIAL_TEAMS,REST_SCHEDULING+SPECIAL_TEAMS,0.75,4.523604175011716,A
NFL-U029,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,405,201,0.4962962962962963,0.18017283950617283,72.97,20,14,6,2,0.059678092166578815,189,91,0.48148148148148145,0.14185185185185184,26.81,9,7,2,1,0.08707820803919446,106,50,0.4716981132075472,0.11320754716981135,12.000000000000004,5,3,2,1,0.11620701755263402,110,60,0.5454545454545454,0.3105454545454545,34.16,6,4,2,2,0.11565535327000913,E0013,SPECIAL_TEAMS,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,0.7,4.502166313937189,B
NFL-U030,EXISTING_1859,LONG,PAIR,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,386,199,0.5155440414507773,0.2321243523316062,89.6,20,15,5,2,0.0614975756184882,179,94,0.5251396648044693,0.25581005586592176,45.79,9,7,2,1,0.0903961454257697,101,50,0.49504950495049505,0.18712871287128718,18.900000000000006,5,3,2,2,0.1211720270167982,106,55,0.5188679245283019,0.23500000000000004,24.910000000000004,6,5,1,1,0.1172751619562294,E0082,PASS_PROTECTION_RUSH,THIRD_DOWN,PASS_PROTECTION_RUSH+THIRD_DOWN,0.75,4.497502593732697,A
NFL-U031,EXISTING_1859,LONG,PAIR,recent_edge_def_allowed_yards_per_play,<=,-0.9352589092171284,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,109,63,0.5779816513761468,0.4002752293577982,43.63,17,12,5,3,0.11654154195369372,39,23,0.5897435897435898,0.4469230769230769,17.43,7,5,2,1,0.1976454362432056,32,17,0.53125,0.30031250000000004,9.610000000000001,4,2,2,2,0.22223864877893923,38,23,0.6052631578947368,0.43657894736842107,16.59,6,5,1,1,0.19331732928814088,E0046,EFFICIENCY,RED_ZONE,EFFICIENCY+RED_ZONE,0.7058823529411765,4.49324743393546,B
NFL-U032,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,294,150,0.5102040816326531,0.2193877551020408,64.5,20,15,5,2,0.07041712699666516,131,64,0.48854961832061067,0.176793893129771,23.160000000000004,9,6,3,2,0.10635995493514419,72,35,0.4861111111111111,0.1754166666666667,12.630000000000003,5,4,1,1,0.14480883430833985,91,51,0.5604395604395604,0.31549450549450553,28.71,6,5,1,1,0.12407235902645616,E0018,SPECIAL_TEAMS,EXPLOSIVENESS,EXPLOSIVENESS+SPECIAL_TEAMS,0.75,4.482999268393862,A
NFL-U033,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-1.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,280,144,0.5142857142857142,0.23003571428571426,64.41,20,15,5,1,0.07226031230768103,122,60,0.4918032786885246,0.19459016393442624,23.740000000000002,9,7,2,1,0.11123027371794746,68,34,0.5,0.1961764705882353,13.340000000000002,5,3,2,1,0.14787149901183538,90,50,0.5555555555555556,0.30366666666666664,27.33,6,5,1,1,0.12488651027808488,E0024,EFFICIENCY,PASS_PROTECTION_RUSH,EFFICIENCY+PASS_PROTECTION_RUSH,0.75,4.469677803520763,A
NFL-U034,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,rank_edge_sack_rate_allowed,>=,1.0,DOG35_49,AWAY,135,76,0.562962962962963,0.3277777777777777,44.24999999999999,17,14,3,2,0.10211260255480682,72,39,0.5416666666666666,0.2594444444444444,18.68,8,6,2,2,0.13873885480042597,31,17,0.5483870967741935,0.3393548387096774,10.52,5,4,1,1,0.22460763182960028,32,20,0.625,0.4703125,15.05,4,4,0,0,0.2065419411710406,E0039,EFFICIENCY,PASS_PROTECTION_RUSH,EFFICIENCY+PASS_PROTECTION_RUSH,0.8235294117647058,4.438995097497002,A
NFL-U035,EXISTING_1859,LONG,PAIR,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,rank_edge_redzone_epa,>=,6.0,DOG35_49,AWAY,205,107,0.5219512195121951,0.23556097560975614,48.290000000000006,20,15,5,2,0.08362493130929945,100,47,0.47,0.12610000000000002,12.610000000000003,9,7,2,1,0.12107839475632173,44,25,0.5681818181818182,0.35409090909090907,15.579999999999998,5,4,1,1,0.18254870420277394,61,35,0.5737704918032787,0.32950819672131143,20.099999999999998,6,4,2,2,0.14960337841176435,E0029,PASS_PROTECTION_RUSH,RED_ZONE,PASS_PROTECTION_RUSH+RED_ZONE,0.75,4.415493979920714,A
NFL-U036,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,367,193,0.5258855585831063,0.23926430517711172,87.81,20,17,3,1,0.06217324174289833,156,84,0.5384615384615384,0.2666025641025641,41.59,9,7,2,1,0.09524798927362675,108,57,0.5277777777777778,0.2506481481481482,27.07,5,5,0,0,0.11567852360277195,103,52,0.5048543689320388,0.18592233009708736,19.15,6,5,1,1,0.11739830176880413,P00311,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.4124995841998285,A
NFL-U037,EXISTING_1859,LONG,PAIR,rank_edge_rush_epa_per_carry,>=,15.0,recent_edge_success_rate,>=,0.0,DOG35_49,AWAY,104,61,0.5865384615384616,0.3776923076923077,39.28,18,13,5,2,0.11525463178888178,52,29,0.5576923076923077,0.27788461538461534,14.449999999999998,8,6,2,1,0.16057385226604667,23,15,0.6521739130434783,0.6082608695652174,13.99,5,5,0,0,0.25440906664517676,29,17,0.5862068965517241,0.3737931034482759,10.84,5,2,3,2,0.22034367121970447,E0094,RUSHING,EFFICIENCY,EFFICIENCY+RUSHING,0.7222222222222222,4.4100269047831615,B
NFL-U038,EXISTING_1859,LONG,PAIR,rank_edge_rush_epa_per_carry,>=,15.0,rank_edge_punt_return_average,>=,-9.0,DOG35_49,AWAY,116,66,0.5689655172413793,0.32931034482758614,38.199999999999996,19,16,3,2,0.10901286144345042,49,26,0.5306122448979592,0.21959183673469387,10.76,8,5,3,2,0.1666384225686342,32,18,0.5625,0.35968749999999994,11.509999999999998,5,5,0,0,0.21876508444534523,35,22,0.6285714285714286,0.45514285714285724,15.930000000000003,6,6,0,0,0.19352952196072862,E0028,RUSHING,SPECIAL_TEAMS,RUSHING+SPECIAL_TEAMS,0.8421052631578947,4.3995020157125575,B
NFL-U039,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,9.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,153,84,0.5490196078431373,0.32,48.96,20,17,3,2,0.097948996155924,67,36,0.5373134328358209,0.2891044776119404,19.370000000000008,9,8,1,1,0.14854453398648815,42,23,0.5476190476190477,0.315,13.23,5,5,0,0,0.18851188436243718,44,25,0.5681818181818182,0.3718181818181818,16.36,6,4,2,2,0.1841603632716496,E0060,SPECIAL_TEAMS,THIRD_DOWN,SPECIAL_TEAMS+THIRD_DOWN,0.85,4.384899990940524,A
NFL-U040,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_explosive_rate,<=,-6.0,recent_edge_sack_rate_allowed,>=,0.0294600666752347,DOG35_49,AWAY,110,64,0.5818181818181818,0.385,42.35,18,12,6,2,0.11364568602294746,60,33,0.55,0.32616666666666666,19.57,9,5,4,2,0.1574692314429206,20,13,0.65,0.55,11.0,4,3,1,1,0.26495779207063785,30,18,0.6,0.3926666666666667,11.780000000000001,5,4,1,1,0.2134666968202324,E0102,EXPLOSIVENESS,PASS_PROTECTION_RUSH,EXPLOSIVENESS+PASS_PROTECTION_RUSH,0.6666666666666666,4.381131547093295,B
NFL-U041,EXISTING_1859,LONG,PAIR,recent_edge_punt_return_average,>=,0.0,recent_edge_kick_return_average,<=,-3.912500000000001,DOG35_49,AWAY,128,74,0.578125,0.37523437499999995,48.029999999999994,20,17,3,1,0.10538922777612009,55,31,0.5636363636363636,0.34509090909090917,18.980000000000004,9,7,2,1,0.16262117941738874,34,22,0.6470588235294118,0.5723529411764706,19.46,5,5,0,0,0.20506555572116839,39,21,0.5384615384615384,0.24589743589743585,9.589999999999998,6,5,1,1,0.1887603275628524,E0181,SPECIAL_TEAMS,SPECIAL_TEAMS,SPECIAL_TEAMS,0.85,4.344730267935997,A
