flagship_id,canonical_id,method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-F11,NFL-C013,NFL-U019,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,rank_edge_rush_epa_per_carry,>=,6.0,DOG35_49,AWAY,278,146,0.5251798561151079,0.2424460431654675,67.39999999999999,20,15,5,2,0.0717288062332461,114,59,0.5175438596491229,0.2292105263157894,26.129999999999995,9,5,4,2,0.1127143299634775,76,36,0.4736842105263157,0.1568421052631579,11.92,5,4,1,1,0.142344554863082,88,51,0.5795454545454546,0.3335227272727273,29.35,6,6,0,0,0.1229523018963341,E0014,SPECIAL_TEAMS,RUSHING,RUSHING+SPECIAL_TEAMS,0.75,4.629301746948881,A
NFL-F12,NFL-C014,NFL-U024,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,DOG35_49,AWAY,193,107,0.5544041450777202,0.3280310880829015,63.31,19,14,5,2,0.0868446112425795,102,55,0.5392156862745098,0.3103921568627451,31.660000000000004,8,6,2,1,0.1217328551105609,43,26,0.6046511627906976,0.4134883720930233,17.78,5,4,1,1,0.1784599069722924,48,26,0.5416666666666666,0.2889583333333333,13.87,6,4,2,2,0.1747278125362409,P00066,QB_CONTEXT,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+QB_CONTEXT,0.7368421052631579,4.548089816014977,A
NFL-F13,NFL-C016,NFL-U027,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,224,124,0.5535714285714286,0.3161160714285714,70.81,20,16,4,1,0.0800094986781346,93,53,0.5698924731182796,0.3661290322580644,34.04999999999999,9,8,1,1,0.1250070621902227,61,34,0.5573770491803278,0.3350819672131148,20.44,5,4,1,1,0.1558610181920036,70,37,0.5285714285714286,0.2331428571428571,16.32,6,4,2,1,0.1412884430336442,E0132,PASSING,THIRD_DOWN,PASSING+THIRD_DOWN,0.8,4.534416207361461,A
NFL-F14,NFL-C017,NFL-U028,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_punt_return_average,>=,-5.0,DOG35_49,ANY,322,177,0.5496894409937888,0.2872670807453416,92.5,20,15,5,2,0.0657401559670172,140,82,0.5857142857142857,0.3729285714285715,52.21000000000001,9,6,3,1,0.0991830191569664,84,45,0.5357142857142857,0.2569047619047619,21.58,5,5,0,0,0.1297676523963017,98,50,0.5102040816326531,0.1909183673469388,18.71,6,4,2,2,0.1195461019743364,P00313,REST_SCHEDULING,SPECIAL_TEAMS,REST_SCHEDULING+SPECIAL_TEAMS,0.75,4.523604175011716,A
NFL-F15,NFL-C018,NFL-U030,EXISTING_1859,LONG,PAIR,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,386,199,0.5155440414507773,0.2321243523316062,89.6,20,15,5,2,0.0614975756184882,179,94,0.5251396648044693,0.2558100558659217,45.79,9,7,2,1,0.0903961454257697,101,50,0.495049504950495,0.1871287128712871,18.90000000000001,5,3,2,2,0.1211720270167982,106,55,0.5188679245283019,0.235,24.910000000000004,6,5,1,1,0.1172751619562294,E0082,PASS_PROTECTION_RUSH,THIRD_DOWN,PASS_PROTECTION_RUSH+THIRD_DOWN,0.75,4.497502593732697,A
NFL-F16,NFL-C020,NFL-U033,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-1.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,280,144,0.5142857142857142,0.2300357142857142,64.41,20,15,5,1,0.072260312307681,122,60,0.4918032786885246,0.1945901639344262,23.74,9,7,2,1,0.1112302737179474,68,34,0.5,0.1961764705882353,13.340000000000002,5,3,2,1,0.1478714990118353,90,50,0.5555555555555556,0.3036666666666666,27.33,6,5,1,1,0.1248865102780848,E0024,EFFICIENCY,PASS_PROTECTION_RUSH,EFFICIENCY+PASS_PROTECTION_RUSH,0.75,4.469677803520763,A
NFL-F17,NFL-C022,NFL-U035,EXISTING_1859,LONG,PAIR,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,rank_edge_redzone_epa,>=,6.0,DOG35_49,AWAY,205,107,0.5219512195121951,0.2355609756097561,48.290000000000006,20,15,5,2,0.0836249313092994,100,47,0.47,0.1261,12.610000000000005,9,7,2,1,0.1210783947563217,44,25,0.5681818181818182,0.354090909090909,15.579999999999998,5,4,1,1,0.1825487042027739,61,35,0.5737704918032787,0.3295081967213114,20.1,6,4,2,2,0.1496033784117643,E0029,PASS_PROTECTION_RUSH,RED_ZONE,PASS_PROTECTION_RUSH+RED_ZONE,0.75,4.415493979920714,A
NFL-F18,NFL-C025,NFL-U042,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-10.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,172,92,0.5348837209302325,0.3021511627906976,51.97,20,15,5,2,0.0938755060571552,67,36,0.5373134328358209,0.3301492537313432,22.12,9,6,3,2,0.1534378381415599,49,23,0.4693877551020408,0.1620408163265306,7.940000000000001,5,4,1,1,0.180006608814768,56,33,0.5892857142857143,0.39125,21.91,6,5,1,1,0.1585437099179448,E0038,EFFICIENCY,RED_ZONE,EFFICIENCY+RED_ZONE,0.75,4.340729646726691,A
NFL-F19,NFL-C027,NFL-U046,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_rush_epa_per_carry,>=,0.0657297309599617,DOG35_49,AWAY,164,90,0.5487804878048781,0.3118292682926829,51.14,18,13,5,2,0.0942405977251614,68,37,0.5441176470588235,0.2948529411764706,20.050000000000004,8,5,3,2,0.1463144671398817,45,24,0.5333333333333333,0.3322222222222222,14.95,5,4,1,1,0.1898909545903682,51,29,0.5686274509803921,0.316470588235294,16.139999999999997,5,4,1,1,0.1638324882261916,E0093,PASSING,RUSHING,PASSING+RUSHING,0.7222222222222222,4.316506337292131,A
NFL-F20,NFL-C031,NFL-U060,EXISTING_1859,LONG,PAIR,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,rank_edge_def_allowed_explosive_rate,<=,-10.0,DOG35_49,AWAY,129,70,0.5426356589147286,0.3042635658914728,39.25,19,14,5,1,0.1068650560445895,52,26,0.5,0.2086538461538461,10.849999999999998,9,7,2,1,0.1704737938588243,32,18,0.5625,0.379375,12.14,5,3,2,1,0.2204458173042425,45,26,0.5777777777777777,0.3613333333333333,16.259999999999998,5,4,1,1,0.177651230212345,E0063,EXPLOSIVENESS,EXPLOSIVENESS,EXPLOSIVENESS,0.7368421052631579,4.194998660760767,A
NFL-F21,NFL-C034,NFL-U065,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,175,95,0.5428571428571428,0.3173714285714285,55.53999999999999,20,15,5,2,0.0926868398126433,70,39,0.5571428571428572,0.3737142857142858,26.160000000000004,9,7,2,1,0.1487921238688617,47,25,0.5319148936170213,0.2753191489361702,12.94,5,4,1,1,0.1792803093778122,58,31,0.5344827586206896,0.2834482758620689,16.439999999999998,6,4,2,2,0.160155050350279,E0141,PASSING,EXPLOSIVENESS,EXPLOSIVENESS+PASSING,0.75,4.167227710207323,A
NFL-F22,NFL-C036,NFL-U082,EXISTING_1859,LONG,PAIR,recent_edge_giveaway_rate,>=,0.0,rank_edge_def_allowed_yards_per_play,<=,-1.0,DOG35_49,AWAY,298,150,0.5033557046979866,0.205234899328859,61.16,20,14,6,2,0.0700767270434253,117,57,0.4871794871794871,0.1785470085470085,20.890000000000004,9,6,3,1,0.1130490834506989,78,38,0.4871794871794871,0.196025641025641,15.29,5,4,1,1,0.1412898268676011,103,55,0.5339805825242718,0.2425242718446601,24.98,6,4,2,2,0.1158688873540468,E0086,TURNOVERS,EFFICIENCY,EFFICIENCY+TURNOVERS,0.7,4.06948636303672,A
NFL-F23,NFL-C037,NFL-U083,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0,rank_edge_def_allowed_explosive_rate,<=,-10.0,DOG35_49,ANY,277,140,0.5054151624548736,0.211913357400722,58.7,20,14,6,2,0.0728497626860271,116,56,0.4827586206896552,0.1599137931034483,18.550000000000004,9,6,3,2,0.1130002119970982,76,40,0.5263157894736842,0.2782894736842105,21.15,5,4,1,1,0.1413064838976084,85,44,0.5176470588235295,0.2235294117647058,18.999999999999996,6,4,2,1,0.1301386575648565,E0121,THIRD_DOWN,EXPLOSIVENESS,EXPLOSIVENESS+THIRD_DOWN,0.7,4.068366815368046,A
NFL-F24,NFL-C040,NFL-U097,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-1.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,256,127,0.49609375,0.2021875,51.76,20,14,6,2,0.0765687422425296,103,48,0.4660194174757281,0.1480582524271844,15.249999999999996,9,6,3,1,0.1224716160974562,64,31,0.484375,0.16171875,10.35,5,3,2,2,0.1528835851538647,89,48,0.5393258426966292,0.2939325842696629,26.160000000000004,6,5,1,1,0.1287074917656581,E0054,EFFICIENCY,EXPLOSIVENESS,EFFICIENCY+EXPLOSIVENESS,0.7,3.9895487413967743,A
NFL-F25,NFL-C041,NFL-U112,EXISTING_1859,LONG,UNIVARIATE,rank_edge_rush_epa_per_carry,>=,15.0,,,,DOG35_49,AWAY,157,88,0.5605095541401274,0.3166878980891719,49.72,20,15,5,2,0.0943105667616262,71,41,0.5774647887323944,0.3494366197183099,24.81,9,6,3,2,0.1392429787665158,39,21,0.5384615384615384,0.2946153846153846,11.490000000000002,5,5,0,0,0.1971144218402477,47,26,0.5531914893617021,0.285531914893617,13.42,6,4,2,1,0.1717297342333457,E0214,RUSHING,,RUSHING,0.75,3.889526626089776,A
NFL-F26,NFL-C042,NFL-U114,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,227,122,0.5374449339207048,0.2948017621145374,66.92,20,17,3,1,0.0807319863578716,99,57,0.5757575757575758,0.3964646464646464,39.25,9,7,2,1,0.1221983336991126,59,29,0.4915254237288136,0.2110169491525423,12.45,5,4,1,1,0.1637194959189826,69,36,0.5217391304347826,0.2205797101449275,15.22,6,6,0,0,0.1430048205117508,E0295,PASSING,RED_ZONE,PASSING+RED_ZONE,0.85,3.872019802300826,A
NFL-F27,NFL-C043,NFL-U129,EXISTING_1859,LONG,PAIR,rank_edge_rush_epa_per_carry,>=,6.0,recent_edge_yards_per_play,<=,0.0,DOG35_49,AWAY,155,84,0.5419354838709678,0.2867096774193548,44.44,20,15,5,1,0.0963867588768389,60,32,0.5333333333333333,0.2923333333333334,17.540000000000003,9,6,3,1,0.1588305366096163,41,22,0.5365853658536586,0.317560975609756,13.019999999999998,5,4,1,1,0.1957620446058655,54,30,0.5555555555555556,0.257037037037037,13.88,6,5,1,1,0.1558548998248533,E0215,RUSHING,EFFICIENCY,EFFICIENCY+RUSHING,0.75,3.77662836984673,A
NFL-F28,NFL-C045,NFL-U134,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,rank_edge_sack_rate_allowed,>=,1.0,DOG35_49,AWAY,233,126,0.5407725321888412,0.2948068669527897,68.69,20,16,4,1,0.0791488520336759,95,56,0.5894736842105263,0.4264210526315788,40.50999999999999,9,8,1,1,0.1240087158542776,69,35,0.5072463768115942,0.234927536231884,16.21,5,4,1,1,0.1493140929236984,69,35,0.5072463768115942,0.1734782608695651,11.969999999999995,6,4,2,1,0.1413863621915716,E0464,PASSING,PASS_PROTECTION_RUSH,PASSING+PASS_PROTECTION_RUSH,0.8,3.748523778549104,A
NFL-F29,NFL-C047,NFL-U154,EXISTING_1859,LONG,PAIR,rank_edge_sack_rate_allowed,>=,1.0,rank_edge_rush_epa_per_carry,>=,6.0,DOG35_49,AWAY,190,96,0.5052631578947369,0.1936315789473683,36.78999999999999,19,15,4,2,0.0867770959933713,90,42,0.4666666666666667,0.1014444444444444,9.13,9,6,3,2,0.1259730230034272,44,21,0.4772727272727273,0.1875,8.250000000000002,5,5,0,0,0.1909244022602546,56,33,0.5892857142857143,0.3466071428571429,19.410000000000004,5,4,1,1,0.1531647268711498,E0096,PASS_PROTECTION_RUSH,RUSHING,PASS_PROTECTION_RUSH+RUSHING,0.7894736842105263,3.6427942707203527,A
NFL-F30,NFL-C048,NFL-U158,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_def_allowed_early_down_epa,<=,-0.0003708468787594,DOG35_49,AWAY,146,85,0.5821917808219178,0.3953424657534246,57.71999999999999,18,13,5,2,0.0991299021490533,79,49,0.620253164556962,0.510886075949367,40.35999999999999,8,7,1,1,0.135179708951519,27,15,0.5555555555555556,0.3007407407407407,8.120000000000001,4,3,1,1,0.230857392325721,40,21,0.525,0.2309999999999999,9.239999999999998,6,3,3,2,0.1888571567111652,P00051,QB_CONTEXT,EFFICIENCY,EFFICIENCY+QB_CONTEXT,0.7222222222222222,3.6119375446264304,A
NFL-F31,NFL-C049,NFL-U163,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-5.0,rank_edge_pass_epa_per_dropback,<=,-10.0,DOG35_49,AWAY,143,74,0.5174825174825175,0.2519580419580419,36.03,19,14,5,2,0.1024118803214676,47,23,0.4893617021276595,0.2127659574468085,10.0,8,4,4,2,0.1838542292826857,38,19,0.5,0.2207894736842105,8.39,5,4,1,1,0.2025461616348786,58,32,0.5517241379310345,0.3041379310344828,17.64,6,6,0,0,0.1574375176348686,E0147,SPECIAL_TEAMS,PASSING,PASSING+SPECIAL_TEAMS,0.7368421052631579,3.565582474526856,A
NFL-F32,NFL-C050,NFL-U179,EXISTING_1859,LONG,PAIR,rank_edge_giveaway_rate,>=,-5.0,rank_edge_punt_return_average,>=,9.0,DOG35_49,AWAY,210,108,0.5142857142857142,0.2385714285714285,50.1,20,15,5,1,0.0840419683032561,100,51,0.51,0.2300999999999999,23.01,9,7,2,1,0.1223088073011684,52,28,0.5384615384615384,0.3082692307692308,16.03,5,4,1,1,0.1710780565837802,58,29,0.5,0.1906896551724137,11.06,6,4,2,1,0.1592938254019586,E0403,TURNOVERS,SPECIAL_TEAMS,SPECIAL_TEAMS+TURNOVERS,0.75,3.472423821070725,A
NFL-F33,NFL-C051,NFL-U188,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,rank_edge_giveaway_rate,>=,-5.0,DOG35_49,AWAY,271,139,0.5129151291512916,0.229520295202952,62.2,20,15,5,2,0.0736692553646567,102,56,0.5490196078431373,0.3162745098039216,32.260000000000005,9,8,1,1,0.1198470941933007,77,38,0.4935064935064935,0.2044155844155844,15.740000000000002,5,3,2,2,0.1417087032583718,92,45,0.4891304347826087,0.1543478260869565,14.2,6,4,2,1,0.1247463077159718,E0477,PASSING,TURNOVERS,PASSING+TURNOVERS,0.75,3.4449369909744747,A
NFL-F34,NFL-C056,NFL-U228,CONTEXT_CORE_PAIR,LONG,PAIR,base_vs_open_prob_move,<=,-0.012503517823639,recent_edge_def_allowed_early_down_epa,<=,-0.0003708468787594,DOG35_49,AWAY,130,70,0.5384615384615384,0.2852307692307692,37.08,17,14,3,2,0.1057442722219381,54,30,0.5555555555555556,0.3257407407407408,17.590000000000003,7,5,2,2,0.1638588648585177,23,14,0.6086956521739131,0.4760869565217391,10.95,4,4,0,0,0.2558128477911802,53,26,0.490566037735849,0.1611320754716981,8.540000000000001,6,5,1,1,0.1658644200330491,P00324,OTHER,EFFICIENCY,EFFICIENCY+OTHER,0.8235294117647058,3.255584510611313,A
NFL-F35,NFL-C059,NFL-U244,CONTEXT_CORE_PAIR,LONG,PAIR,base_vs_open_prob_move,<=,-0.0016514764021672,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,125,69,0.552,0.33024,41.28,17,13,4,1,0.1088225228110786,60,35,0.5833333333333334,0.4160000000000001,24.960000000000004,8,6,2,1,0.1572888594616111,29,15,0.5172413793103449,0.2541379310344828,7.370000000000002,3,3,0,0,0.2321783315592993,36,19,0.5277777777777778,0.2486111111111111,8.950000000000001,6,4,2,1,0.2018879748998713,P00114,OTHER,PASSING,OTHER+PASSING,0.7647058823529411,3.186820720214977,A
NFL-F36,NFL-C060,NFL-U249,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,9.0,rank_edge_redzone_epa,>=,-9.0,DOG35_49,AWAY,226,111,0.4911504424778761,0.1888053097345133,42.67,20,15,5,2,0.081381336169711,102,49,0.4803921568627451,0.1633333333333333,16.660000000000004,9,6,3,2,0.1213745719171959,54,27,0.5,0.2059259259259259,11.12,5,4,1,1,0.1669740391071184,70,35,0.5,0.2127142857142857,14.89,6,5,1,1,0.1475073667569179,E0344,SPECIAL_TEAMS,RED_ZONE,RED_ZONE+SPECIAL_TEAMS,0.75,3.1756980654396307,A
NFL-F37,NFL-C063,NFL-U272,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,rank_edge_pass_epa_per_dropback,>=,6.0,DOG35_49,AWAY,176,93,0.5284090909090909,0.2596590909090909,45.7,19,16,3,1,0.0908844670385341,89,49,0.550561797752809,0.3007865168539326,26.77,9,7,2,1,0.1265663077335226,46,23,0.5,0.2182608695652173,10.04,5,5,0,0,0.1837129940646436,41,21,0.5121951219512195,0.2168292682926829,8.89,5,4,1,1,0.1893159828023979,E0591,EFFICIENCY,PASSING,EFFICIENCY+PASSING,0.8421052631578947,3.059994530250823,A
NFL-F38,NFL-C065,NFL-U285,EXISTING_1859,LONG,UNIVARIATE,rank_edge_def_allowed_sack_or_hit_rate,>=,14.0,,,,DOG35_49,AWAY,184,92,0.5,0.1892934782608695,34.83,20,14,6,2,0.0886895782884766,78,37,0.4743589743589743,0.1334615384615384,10.409999999999998,9,6,3,2,0.1371383266758753,51,27,0.5294117647058824,0.2594117647058823,13.23,5,4,1,1,0.1692348204481979,55,28,0.509090909090909,0.2034545454545454,11.19,6,4,2,1,0.1624374975746187,E0443,PASS_PROTECTION_RUSH,,PASS_PROTECTION_RUSH,0.7,3.0077052485887537,A
NFL-F39,NFL-C066,NFL-U286,CONTEXT_CORE_PAIR,LONG,PAIR,base_vs_open_prob_move,<=,-0.012503517823639,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,132,71,0.5378787878787878,0.2745454545454545,36.24,17,14,3,1,0.1040685397801281,55,31,0.5636363636363636,0.3283636363636364,18.06,7,6,1,1,0.1600514992112074,36,19,0.5277777777777778,0.2586111111111111,9.31,5,4,1,1,0.2029426976664969,41,21,0.5121951219512195,0.2163414634146341,8.870000000000001,5,4,1,1,0.1896636162498512,P00321,OTHER,THIRD_DOWN,OTHER+THIRD_DOWN,0.8235294117647058,3.002647077089577,A
