next_method_id,track,type,price_band,venue,semantic_signature,pre_score,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_roi,full_positive_seasons,full_active_seasons,feature1,op1,threshold1,feature2,op2,threshold2,feature3,op3,threshold3,season_ratio
NFL-NW011,LONG,TRIPLE,DOG35_44,AWAY,EXPLOSIVE+PRESSURE+TRAVEL_FATIGUE,0.9306571428571428,29,0.56,21,0.33285714285714285,25,0.5736,75,0.5009333333333335,12,14,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,0.8571428571428571
NFL-NW012,LONG,TRIPLE,DOG35_49,ANY,SPECIAL_TEAMS+TRAVEL_FATIGUE+TURNOVERS,1.134175,25,0.5348,32,0.554375,24,0.53,81,0.5411111111111112,11,15,adv_prior_road_miles_last4,>=,1044.6112121956915,rank_edge_def_allowed_giveaway_rate,<=,-10.0,rank_edge_punt_return_average,>=,-5.300000000000011,0.7333333333333333
NFL-NW013,LONG,PAIR,DOG35_44,AWAY,EXPLOSIVE+PRESSURE,0.8631515151515152,33,0.6851515151515152,20,0.13800000000000004,22,0.5218181818181818,75,0.49133333333333334,11,16,rank_edge_sack_or_hit_rate,>=,10.0,recent_edge_def_allowed_explosive_rate,<=,-0.008819041763177438,,,,0.6875
NFL-NW014,LONG,TRIPLE,DOG35_44,ANY,OTHER+TRAVEL_FATIGUE+TURNOVERS,1.1766072398190044,39,0.4692307692307692,34,0.6461764705882354,25,0.5147999999999999,98,0.5422448979591837,14,18,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,dc_team_tenure_seasons,>=,1.0,0.7777777777777778
NFL-NW015,LONG,TRIPLE,DOG35_44,ANY,OTHER+TRAVEL_FATIGUE+TURNOVERS,1.1766072398190044,39,0.4692307692307692,34,0.6461764705882354,25,0.5147999999999999,98,0.5422448979591837,14,18,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,dc_prior_role_seasons,>=,0.0,0.7777777777777778
NFL-NW016,LONG,TRIPLE,DOG20_34,AWAY,PRESSURE+RUSHING+SPECIAL_TEAMS,1.6430980769230767,32,0.474375,26,1.1219230769230768,21,0.5109523809523809,79,0.6972151898734178,10,15,recent_edge_sack_or_hit_rate,>=,0.005306244811269951,rank_edge_kick_return_average,<=,-9.0,recent_edge_rush_epa_per_carry,>=,-0.07548729880051086,0.6666666666666666
NFL-NW017,LONG,TRIPLE,DOG20_34,AWAY,PRESSURE+RUSHING+SPECIAL_TEAMS,1.6430980769230767,32,0.474375,26,1.1219230769230768,21,0.5109523809523809,79,0.6972151898734178,10,15,recent_edge_sack_or_hit_rate,>=,0.005306244811269951,recent_edge_rush_epa_per_carry,>=,-0.07548729880051086,rank_edge_kick_return_average,<=,-9.0,0.6666666666666666
NFL-NW018,LONG,PAIR,DOG20_34,AWAY,EXPLOSIVE+SPECIAL_TEAMS,0.8573015873015875,36,0.4744444444444445,35,0.31285714285714283,36,0.4938888888888888,107,0.4281308411214953,14,19,recent_edge_def_allowed_explosive_rate,>=,0.0034262319005425963,rank_edge_kick_return_average,<=,-9.0,,,,0.7368421052631579
NFL-NW019,LONG,TRIPLE,DOG35_44,ANY,COACHING+EXPLOSIVE+THIRD_DOWN,1.4757875,32,0.3071875,25,1.1236000000000002,17,0.4894117647058824,74,0.6248648648648649,12,13,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,defensive_coordinator_changed,>=,0.0,0.9230769230769231
NFL-NW020,LONG,TRIPLE,DOG35_44,ANY,COACHING+EXPLOSIVE+THIRD_DOWN,1.4757875,32,0.3071875,25,1.1236000000000002,17,0.4894117647058824,74,0.6248648648648649,12,13,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,defensive_coordinator_changed,<=,1.0,0.9230769230769231
NFL-NW021,LONG,PAIR,PK_55,AWAY,EFFICIENCY+SPECIAL_TEAMS,0.8467784282086919,35,0.32268160082757,29,0.4660968273811218,26,0.48406162959846394,90,0.4155140710286394,17,19,recent_edge_punt_return_average,>=,4.583333333333332,recent_edge_def_allowed_off_epa_per_play,<=,0.0777860982723738,,,,0.8947368421052632
NFL-NW022,LONG,PAIR,DOG35_44,AWAY,PRESSURE+RUSHING,0.6520597826086957,32,0.145625,23,0.46043478260869564,20,0.47700000000000004,75,0.33053333333333335,13,16,rank_edge_rush_epa_per_carry,>=,14.0,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,,,,0.8125
NFL-NW023,LONG,TRIPLE,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN+TRAVEL_FATIGUE,0.7556270531400966,36,0.28944444444444445,23,0.42478260869565215,23,0.468695652173913,82,0.3776829268292683,11,15,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,adv_prior_road_miles_last3,>=,374.5215340745484,0.7333333333333333
NFL-NW024,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.7831607142857142,64,0.3031249999999999,56,0.3680357142857143,51,0.4654901960784314,171,0.37280701754385964,17,20,recent_edge_punt_return_average,>=,2.347777777777778,recent_edge_third_down_success,>=,0.073765106582444,,,,0.85
NFL-NW025,LONG,PAIR,PK_55,AWAY,EFFICIENCY+SPECIAL_TEAMS,0.9664310489057522,31,0.3323875475208007,27,0.5800435013849514,21,0.4630211375114553,79,0.4517548404845452,14,18,recent_edge_punt_return_average,>=,4.583333333333332,recent_edge_def_allowed_early_down_epa,<=,0.06340222728062009,,,,0.7777777777777778
NFL-NW026,LONG,TRIPLE,DOG20_34,AWAY,EFFICIENCY+OTHER+PENALTY,1.2843307692307693,52,0.5442307692307692,32,0.6825,22,0.4509090909090909,106,0.5666037735849057,18,19,dc_team_tenure_seasons,<=,1.0,rank_edge_penalty_yards,>=,-5.5,recent_edge_off_epa_per_play,>=,-0.011237172951585512,0.9473684210526315
NFL-NW027,LONG,TRIPLE,DOG20_34,AWAY,EFFICIENCY+OTHER+PENALTY,1.2340009925558313,52,0.5388461538461539,31,0.6393548387096775,22,0.4509090909090909,105,0.5500952380952382,16,18,dc_team_tenure_seasons,<=,1.0,rank_edge_penalty_yards,>=,-5.5,recent_edge_off_epa,>=,-0.5320208749928329,0.8888888888888888
NFL-NW028,LONG,PAIR,DOG35_44,AWAY,PASSING+PRESSURE,0.8128387096774192,40,0.43599999999999994,31,0.3148387096774193,26,0.4492307692307692,97,0.4008247422680412,11,14,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,,,,0.7857142857142857
NFL-NW029,LONG,PAIR,DOG35_44,AWAY,EXPLOSIVE+TRAVEL_FATIGUE,0.9232690217391306,32,0.6603125000000001,23,0.21695652173913044,29,0.44275862068965516,84,0.4638095238095239,12,16,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,801.0648497063887,,,,0.75
NFL-NW030,LONG,TRIPLE,DOG35_44,ANY,OTHER+TRAVEL_FATIGUE+TURNOVERS,1.1728709677419356,31,0.4438709677419355,20,0.693,19,0.44210526315789467,70,0.5145714285714286,9,14,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,dc_team_tenure_seasons,<=,2.0,0.6428571428571429
NFL-NW031,LONG,TRIPLE,DOG35_49,ANY,OTHER+SPECIAL_TEAMS+TRAVEL_FATIGUE,0.778,45,0.3380000000000001,30,0.386,35,0.43599999999999994,110,0.38227272727272726,15,18,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,adv_prior_road_miles_last4,>=,1044.6112121956915,0.8333333333333334
NFL-NW032,LONG,TRIPLE,DOG35_44,ANY,SPECIAL_TEAMS+TRAVEL_FATIGUE+TURNOVERS,1.1015486590038317,36,0.38555555555555565,29,0.6637931034482759,24,0.42750000000000005,89,0.48752808988764046,13,17,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,rank_edge_punt_return_average,>=,-6.0,0.7647058823529411
NFL-NW033,LONG,PAIR,DOG35_44,ANY,TRAVEL_FATIGUE+TURNOVERS,1.022138888888889,48,0.3954166666666667,36,0.5547222222222222,35,0.42314285714285715,119,0.45176470588235296,18,20,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,,,,0.9
NFL-NW034,LONG,TRIPLE,DOG35_44,AWAY,EXPLOSIVE+PRESSURE+THIRD_DOWN,0.9784822580645162,31,0.4590322580645162,24,0.47625,16,0.41999999999999993,71,0.45605633802816903,10,16,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,rank_edge_third_down_success,>=,5.0,recent_edge_def_allowed_explosive_rate,<=,-0.008819041763177438,0.625
NFL-NW035,LONG,TRIPLE,DOG35_49,AWAY,EXPLOSIVE+SPECIAL_TEAMS+TRAVEL_FATIGUE,1.1240606060606062,33,0.466060606060606,20,0.6220000000000001,34,0.41176470588235287,87,0.48068965517241397,14,16,rank_edge_punt_return_average,>=,6.0,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,-22.615351354006506,0.875
NFL-NW036,LONG,TRIPLE,DOG35_44,ANY,EXPLOSIVE+OTHER+THIRD_DOWN,1.7077222222222228,36,0.5147222222222223,20,1.1570000000000005,18,0.4066666666666667,74,0.662027027027027,11,13,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,dc_team_tenure_seasons,<=,3.0,0.8461538461538461
NFL-NW037,LONG,PAIR,DOG35_44,AWAY,PRESSURE+TRAVEL_FATIGUE,0.6716043956043956,35,0.3611428571428571,26,0.25846153846153846,25,0.3964000000000001,86,0.34034883720930237,13,16,rank_edge_sack_or_hit_rate,>=,10.0,adv_prior_road_miles_last4,>=,801.0648497063887,,,,0.8125
NFL-NW038,LONG,TRIPLE,DOG35_49,ANY,OTHER+SPECIAL_TEAMS+TRAVEL_FATIGUE,0.8218881320949434,51,0.2698039215686275,38,0.4836842105263159,38,0.3823684210526316,127,0.36748031496062994,15,19,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,adv_prior_road_miles_last3,>=,374.5215340745484,0.7894736842105263
NFL-NW039,LONG,PAIR,DOG20_34,AWAY,COACHING+EFFICIENCY,0.7385887300252314,41,0.2902439024390244,29,0.3903448275862069,19,0.3747368421052631,89,0.3408988764044944,11,17,recent_edge_off_epa_per_play,>=,-0.011237172951585512,staff_changes_count,>=,2.0,,,,0.6470588235294118
NFL-NW040,LONG,PAIR,DOG20_34,AWAY,COACHING+EFFICIENCY,0.7385887300252314,41,0.2902439024390244,29,0.3903448275862069,19,0.3747368421052631,89,0.3408988764044944,11,17,recent_edge_off_epa_per_play,>=,-0.011237172951585512,staff_overhaul_2plus,>=,1.0,,,,0.6470588235294118
NFL-NW041,LONG,TRIPLE,DOG35_44,ANY,COACHING+TRAVEL_FATIGUE+TURNOVERS,1.0848709677419355,31,0.4438709677419354,30,0.5870000000000001,22,0.3686363636363636,83,0.4756626506024097,12,16,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,defensive_coordinator_changed,>=,0.0,0.75
NFL-NW042,LONG,TRIPLE,DOG35_44,ANY,COACHING+TRAVEL_FATIGUE+TURNOVERS,1.0848709677419355,31,0.4438709677419354,30,0.5870000000000001,22,0.3686363636363636,83,0.4756626506024097,12,16,recent_edge_giveaway_rate,>=,0.012346434070992575,adv_prior_road_miles_last3,>=,422.8974840393614,defensive_coordinator_changed,<=,1.0,0.75
NFL-NW043,LONG,TRIPLE,DOG35_44,ANY,OTHER+SPECIAL_TEAMS+TURNOVERS,1.1378260869565218,50,0.3286,23,0.7678260869565218,20,0.3645,93,0.4449462365591398,13,16,recent_edge_giveaway_rate,>=,0.01870410934683625,rank_edge_punt_return_average,>=,-9.0,dc_team_tenure_seasons,<=,3.0,0.8125
NFL-NW044,LONG,TRIPLE,DOG35_44,ANY,OTHER+SPECIAL_TEAMS+TURNOVERS,1.1378260869565218,50,0.3286,23,0.7678260869565218,20,0.3645,93,0.4449462365591398,13,16,recent_edge_giveaway_rate,>=,0.01870410934683625,dc_team_tenure_seasons,<=,3.0,rank_edge_punt_return_average,>=,-9.0,0.8125
NFL-NW045,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+EXPLOSIVE+TRAVEL_FATIGUE,1.1820254641909813,29,0.7913793103448276,26,0.3438461538461539,24,0.35833333333333334,79,0.5125316455696204,10,14,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006506,rank_edge_def_allowed_explosive_rate,<=,-9.0,0.7142857142857143
NFL-NW046,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+EXPLOSIVE+TRAVEL_FATIGUE,1.1820254641909813,29,0.7913793103448276,26,0.3438461538461539,24,0.35833333333333334,79,0.5125316455696204,10,14,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,rank_edge_def_allowed_explosive_rate,<=,-9.0,adv_prior_road_miles_last4,>=,-22.615351354006506,0.7142857142857143
NFL-NW047,LONG,PAIR,DOG35_44,AWAY,PASSING+PRESSURE,0.8404627659574467,47,0.37021276595744684,40,0.39025,30,0.34266666666666673,117,0.37000000000000005,11,15,rank_edge_pass_epa_per_dropback,>=,10.0,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,,,,0.7333333333333333
NFL-NW048,LONG,PAIR,DOG35_49,ANY,TRAVEL_FATIGUE+TURNOVERS,0.9614695459579181,43,0.45627906976744187,42,0.4211904761904763,39,0.34051282051282056,124,0.4079838709677419,14,19,adv_prior_road_miles_last4,>=,1044.6112121956915,rank_edge_def_allowed_giveaway_rate,<=,-10.0,,,,0.7368421052631579
NFL-NW049,LONG,PAIR,DOG20_34,AWAY,EFFICIENCY+OTHER,0.8385934343434343,72,0.37263888888888885,44,0.37795454545454543,31,0.3387096774193548,147,0.36707482993197277,13,20,dc_team_tenure_seasons,<=,1.0,recent_edge_off_epa,>=,-0.5320208749928329,,,,0.65
NFL-NW050,MODERN,PAIR,PK_55,AWAY,EFFICIENCY+TRAVEL_FATIGUE,0.5531020987900643,41,0.2778899550865343,18,0.23921214370353006,26,0.33638811071688196,110,0.2597003439590053,14,17,recent_edge_early_down_epa,<=,-0.026492235164245426,adv_prior_road_miles_last2,<=,417.76118356084817,,,,0.8235294117647058
NFL-NW051,LONG,TRIPLE,DOG35_44,ANY,EXPLOSIVE+OTHER+THIRD_DOWN,1.6036000000000001,38,0.43500000000000005,25,1.1236000000000002,19,0.33263157894736844,82,0.6212195121951221,12,15,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,dc_team_tenure_seasons,>=,1.0,0.8
NFL-NW052,LONG,TRIPLE,DOG35_44,ANY,EXPLOSIVE+OTHER+THIRD_DOWN,1.6036000000000001,38,0.43500000000000005,25,1.1236000000000002,19,0.33263157894736844,82,0.6212195121951221,12,15,rank_edge_third_down_success,>=,3.0,rank_edge_def_allowed_explosive_rate,<=,-15.0,dc_prior_role_seasons,>=,0.0,0.8
NFL-NW053,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+RUSHING+TRAVEL_FATIGUE,1.226463938618926,34,0.8894117647058825,23,0.2956521739130435,21,0.33095238095238094,78,0.5639743589743591,12,15,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006506,rank_edge_def_allowed_rush_epa_per_carry,<=,-9.25,0.8
NFL-NW054,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+RUSHING+TRAVEL_FATIGUE,1.226463938618926,34,0.8894117647058825,23,0.2956521739130435,21,0.33095238095238094,78,0.5639743589743591,12,15,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,rank_edge_def_allowed_rush_epa_per_carry,<=,-9.25,adv_prior_road_miles_last4,>=,-22.615351354006506,0.8
NFL-NW055,LONG,PAIR,DOG20_34,AWAY,TRAVEL_FATIGUE+TURNOVERS,0.9144540816326531,49,0.19020408163265304,24,0.67625,26,0.3215384615384615,99,0.3425252525252525,13,17,recent_edge_giveaway_rate,>=,0.009061262221487499,road_miles_last4_including_current,<=,1254.5054897571115,,,,0.7647058823529411
NFL-NW056,LONG,TRIPLE,DOG35_44,ANY,OTHER+SPECIAL_TEAMS+TURNOVERS,1.3627782505910164,47,0.36148936170212764,18,0.9688888888888889,17,0.31352941176470595,82,0.4848780487804878,11,15,recent_edge_giveaway_rate,>=,0.01870410934683625,dc_team_tenure_seasons,<=,2.0,rank_edge_punt_return_average,>=,-9.0,0.7333333333333333
NFL-NW057,LONG,PAIR,DOG35_49,AWAY,EXPLOSIVE+RUSHING,0.9803701226309922,39,0.45871794871794874,23,0.4756521739130434,25,0.31240000000000007,87,0.4211494252873564,13,16,rank_edge_rush_epa_per_carry,>=,14.0,recent_edge_def_allowed_explosive_rate,<=,-0.00991453075337873,,,,0.8125
NFL-NW058,LONG,PAIR,DOG35_49,ANY,OTHER+SPECIAL_TEAMS,0.8029111826967326,53,0.22188679245283016,41,0.4990243902439024,42,0.3111904761904762,136,0.33301470588235293,15,19,recent_edge_punt_return_average,>=,2.347777777777778,adv_prior_long_trips_last3,>=,1.0,,,,0.7894736842105263
NFL-NW059,LONG,PAIR,DOG35_44,AWAY,EFFICIENCY+PRESSURE,0.831037037037037,36,0.5155555555555555,27,0.2614814814814814,29,0.30724137931034484,92,0.3753260869565218,10,16,recent_edge_def_allowed_yards_per_play,<=,-0.8529614244093031,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,,,,0.625
NFL-NW060,LONG,PAIR,DOG35_44,AWAY,PRESSURE+RUSHING,0.6941904761904762,42,0.2828571428571428,30,0.35133333333333333,32,0.30218750000000005,104,0.30855769230769237,15,19,rank_edge_rush_epa_per_carry,>=,14.0,recent_edge_sack_or_hit_rate,>=,-0.0631559729586045,,,,0.7894736842105263
NFL-NW061,LONG,PAIR,DOG35_49,AWAY,EXPLOSIVE+SPECIAL_TEAMS,0.9302443064182195,42,0.3238095238095238,23,0.5604347826086957,31,0.29774193548387096,96,0.3720833333333333,12,17,recent_edge_punt_return_average,>=,4.679166666666667,recent_edge_def_allowed_explosive_rate,<=,-0.00991453075337873,,,,0.7058823529411765
NFL-NW062,MODERN,PAIR,PK_55,AWAY,OTHER+TRAVEL_FATIGUE,0.5020692521537797,43,0.12258697532286371,18,0.343482276830916,22,0.29537464339280634,98,0.15609436613175473,12,16,oc_prior_role_seasons,>=,3.0,adv_prior_road_miles_last2,<=,834.6920601773531,,,,0.75
NFL-NW063,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+THIRD_DOWN+TURNOVERS,1.0626183823529411,34,0.6847058823529412,32,0.3203125,23,0.2952173913043479,89,0.45303370786516856,13,17,recent_edge_def_allowed_early_down_epa,<=,-0.08970304648789978,recent_edge_giveaway_rate,>=,-0.00522518659735717,rank_edge_third_down_success,>=,5.0,0.7647058823529411
NFL-NW064,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+THIRD_DOWN+TURNOVERS,1.0626183823529411,34,0.6847058823529412,32,0.3203125,23,0.2952173913043479,89,0.45303370786516856,13,17,recent_edge_def_allowed_early_down_epa,<=,-0.08970304648789978,rank_edge_third_down_success,>=,5.0,recent_edge_giveaway_rate,>=,-0.00522518659735717,0.7647058823529411
NFL-NW065,MODERN,TRIPLE,PK_55,AWAY,EFFICIENCY+OTHER+TRAVEL_FATIGUE,0.6986741448024395,34,0.18515912941949947,15,0.48651501538293995,19,0.29479206169397887,77,0.2644060988003023,9,13,oc_prior_role_seasons,>=,3.0,rank_edge_def_allowed_early_down_epa,<=,6.900000000000006,adv_prior_road_miles_last2,<=,834.6920601773531,0.6923076923076923
NFL-NW066,MODERN,TRIPLE,PK_55,AWAY,EFFICIENCY+OTHER+TRAVEL_FATIGUE,0.6986741448024395,34,0.18515912941949947,15,0.48651501538293995,19,0.29479206169397887,77,0.2644060988003023,9,13,oc_prior_role_seasons,>=,3.0,adv_prior_road_miles_last2,<=,834.6920601773531,rank_edge_def_allowed_early_down_epa,<=,6.900000000000006,0.6923076923076923
NFL-NW067,MODERN,TRIPLE,PK_55,AWAY,EFFICIENCY+OTHER+TRAVEL_FATIGUE,0.6986741448024395,34,0.18515912941949947,15,0.48651501538293995,19,0.29479206169397887,77,0.2644060988003023,9,13,rank_edge_def_allowed_early_down_epa,<=,6.900000000000006,adv_prior_road_miles_last2,<=,834.6920601773531,oc_prior_role_seasons,>=,3.0,0.6923076923076923
NFL-NW068,LONG,PAIR,DOG35_44,AWAY,EXPLOSIVE+PRESSURE,0.9889025641025642,39,0.3641025641025641,25,0.5748000000000001,27,0.2937037037037037,91,0.4010989010989012,12,18,rank_edge_def_allowed_explosive_rate,<=,-14.0,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,,,,0.6666666666666666
NFL-NW069,LONG,PAIR,DOG35_49,ANY,EFFICIENCY+TRAVEL_FATIGUE,0.6735000000000002,32,0.20750000000000002,25,0.4160000000000001,35,0.2931428571428572,92,0.29673913043478256,12,16,adv_prior_road_miles_last4,>=,1044.6112121956915,rank_edge_def_allowed_success_rate,<=,-14.400000000000006,,,,0.75
NFL-NW070,LONG,TRIPLE,DOG35_44,AWAY,PRESSURE+THIRD_DOWN+TRAVEL_FATIGUE,1.3693238095238096,35,0.5205714285714287,21,0.810952380952381,19,0.2915789473684211,75,0.5438666666666666,10,13,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,rank_edge_third_down_success,>=,5.0,adv_prior_road_miles_last4,>=,801.0648497063887,0.7692307692307693
NFL-NW071,LONG,TRIPLE,DOG35_44,AWAY,PRESSURE+THIRD_DOWN+TRAVEL_FATIGUE,1.3693238095238096,35,0.5205714285714287,21,0.810952380952381,19,0.2915789473684211,75,0.5438666666666666,10,13,rank_edge_third_down_success,>=,5.0,adv_prior_road_miles_last4,>=,801.0648497063887,recent_edge_sack_or_hit_rate,>=,-0.014756480841195685,0.7692307692307693
NFL-NW072,LONG,PAIR,DOG35_44,AWAY,EXPLOSIVE+THIRD_DOWN,0.8499047619047619,35,0.4617142857142858,21,0.34619047619047616,15,0.28866666666666674,71,0.3909859154929577,9,14,rank_edge_def_allowed_explosive_rate,<=,-14.0,rank_edge_third_down_success,>=,5.0,,,,0.6428571428571429
NFL-NW073,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.6763219954648526,63,0.1673015873015873,49,0.4110204081632653,52,0.2825,164,0.2766463414634146,16,20,rank_edge_punt_return_average,>=,5.300000000000011,recent_edge_third_down_success,>=,0.073765106582444,,,,0.8
NFL-NW074,LONG,PAIR,DOG35_49,AWAY,EFFICIENCY+EXPLOSIVE,0.8624755244755244,44,0.5690909090909091,39,0.2153846153846154,38,0.27894736842105256,121,0.3639669421487603,12,18,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,rank_edge_def_allowed_explosive_rate,<=,-9.0,,,,0.6666666666666666
NFL-NW075,LONG,PAIR,DOG35_49,ANY,SPECIAL_TEAMS+THIRD_DOWN,0.6862140060896043,121,0.18537190082644628,95,0.3108421052631579,91,0.2768131868131868,307,0.25130293159609124,14,20,rank_edge_punt_return_average,>=,-5.300000000000011,recent_edge_third_down_success,>=,0.073765106582444,,,,0.7
NFL-NW076,LONG,TRIPLE,DOG35_49,AWAY,EFFICIENCY+TRAVEL_FATIGUE+TURNOVERS,1.1586503118503118,37,0.6810810810810811,26,0.43076923076923074,37,0.2737837837837838,100,0.4653,12,16,rank_edge_def_allowed_off_epa_per_play,<=,-12.0,adv_prior_road_miles_last4,>=,-22.615351354006506,recent_edge_giveaway_rate,>=,-0.00522518659735717,0.75
