method_id,rank_preholdout,feature_or_combo,op,threshold,semantic,pre_score,train_base_n,train_base_roi,train_risk_n,train_risk_loss_rate,train_safe_n,train_safe_roi,train_safe_loss_rate,validation_base_n,validation_base_roi,validation_risk_n,validation_risk_loss_rate,validation_safe_n,validation_safe_roi,validation_safe_loss_rate,holdout_base_n,holdout_base_wins,holdout_base_losses,holdout_base_roi,holdout_risk_n,holdout_removed_wins,holdout_removed_losses,holdout_risk_loss_rate,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,holdout_roi_change,holdout_loss_rate_change,confirmed_veto
NFL-H003,4,rank_edge_fg_accuracy,<=,-6.600000000000001,SPECIAL_TEAMS,1.0222333064122069,79,0.5616455696202532,24,0.5416666666666667,55,0.7496363636363637,0.3090909090909091,51,0.22529411764705878,13,0.6923076923076923,38,0.378421052631579,0.4473684210526315,43,25,18,0.43744186046511624,14,9,5,0.3571428571428571,29,16,13,0.36689655172413793,0.4482758620689655,-0.07054530874097831,0.02967121090617486,False
NFL-H003,5,adv_out_players,<=,-3.0,INJURY_AVAILABILITY,1.0164117649430922,79,0.5616455696202532,6,0.8333333333333334,73,0.6547945205479452,0.34246575342465757,51,0.22529411764705878,8,0.625,43,0.2630232558139535,0.4883720930232558,43,25,18,0.43744186046511624,6,5,1,0.16666666666666663,37,20,17,0.33108108108108114,0.45945945945945943,-0.1063607793840351,0.040854808296668765,False
NFL-H003,6,recent_edge_def_allowed_pass_epa_per_dropback,>=,0.21823825659497048,PASSING,0.9503596940523816,79,0.5616455696202532,8,0.75,71,0.6664788732394367,0.3380281690140845,51,0.22529411764705878,8,0.625,43,0.28186046511627905,0.4883720930232558,43,25,18,0.43744186046511624,8,2,6,0.75,35,23,12,0.6359999999999999,0.34285714285714286,0.19855813953488366,-0.0757475083056478,True
NFL-H003,7,adv_questionable_players >= 0 AND qb_prior_starts >= 78.4,COMBO,,OTHER+QB_CONTEXT,1.6849204753343139,79,0.5616455696202532,4,1.0,75,0.6449333333333332,0.3466666666666667,51,0.22529411764705878,10,0.9,41,0.46048780487804886,0.41463414634146345,43,25,18,0.43744186046511624,11,6,5,0.4545454545454546,32,19,13,0.45562500000000006,0.40625,0.01818313953488382,-0.012354651162790664,False
NFL-H006,1,grass_surface,<=,0.0,OTHER,1.2967542362750804,97,0.25680412371134015,39,0.6923076923076923,58,0.5912068965517242,0.3620689655172413,79,0.2967088607594937,31,0.6129032258064516,48,0.511875,0.39583333333333337,76,39,37,0.26815789473684204,37,17,20,0.5405405405405406,39,22,17,0.3958974358974358,0.4358974358974359,0.12773954116059377,-0.05094466936572195,True
NFL-H006,2,rank_edge_def_allowed_pass_epa_per_dropback,>=,-6.0,PASSING,1.0640882096775741,97,0.25680412371134015,40,0.575,57,0.40263157894736845,0.4385964912280702,79,0.2967088607594937,28,0.6785714285714286,51,0.5915686274509804,0.37254901960784315,76,39,37,0.26815789473684204,25,14,11,0.43999999999999995,51,25,26,0.22392156862745097,0.5098039215686274,-0.04423632610939107,0.022961816305469562,False
NFL-H006,3,recent_edge_sack_or_hit_rate,<=,-0.02418698829105624,PASS_PROTECTION_RUSH,0.9829789370116778,97,0.25680412371134015,29,0.7241379310344828,68,0.5058823529411764,0.3970588235294118,79,0.2967088607594937,29,0.5517241379310345,50,0.4040000000000001,0.43999999999999995,76,39,37,0.26815789473684204,30,14,16,0.5333333333333333,46,25,21,0.3541304347826087,0.4565217391304348,0.08597254004576665,-0.030320366132723042,True
NFL-H006,4,recent_edge_giveaway_rate,<=,-0.02212417907401244,TURNOVERS,0.9313070718979543,97,0.25680412371134015,10,0.7,87,0.31781609195402305,0.47126436781609193,79,0.2967088607594937,5,0.8,74,0.34635135135135137,0.45945945945945943,76,39,37,0.26815789473684204,6,4,2,0.33333333333333337,70,35,35,0.2337142857142857,0.5,-0.03444360902255633,0.013157894736842146,False
NFL-H006,5,rank_edge_success_rate,<=,2.0,EFFICIENCY,0.8887618244675801,97,0.25680412371134015,31,0.6451612903225806,66,0.4209090909090909,0.4242424242424242,79,0.2967088607594937,33,0.5757575757575757,46,0.46630434782608704,0.4130434782608695,76,39,37,0.26815789473684204,26,12,14,0.5384615384615384,50,27,23,0.3344,0.45999999999999996,0.06624210526315794,-0.02684210526315789,False
NFL-H006,6,adv_skill_unavail_equiv,<=,-0.6387499999999999,INJURY_AVAILABILITY,0.8026311503585416,97,0.25680412371134015,6,0.8333333333333334,91,0.31472527472527473,0.4725274725274725,79,0.2967088607594937,5,0.6,74,0.3154054054054054,0.472972972972973,76,39,37,0.26815789473684204,8,2,6,0.75,68,37,31,0.3498529411764706,0.4558823529411765,0.08169504643962855,-0.030959752321981338,True
NFL-H006,7,grass_surface <= 0 AND rank_edge_def_allowed_pass_epa_per_dropback >= -6,COMBO,,OTHER+PASSING,1.3614935604548286,97,0.25680412371134015,17,0.9411764705882353,80,0.493375,0.4,79,0.2967088607594937,14,0.7142857142857143,65,0.432,0.4307692307692308,76,39,37,0.26815789473684204,14,8,6,0.4285714285714286,62,31,31,0.24854838709677426,0.5,-0.019609507640067775,0.013157894736842146,False
NFL-H010,1,total_line,>=,48.45,OTHER,1.0138112925747624,64,0.36375,7,0.7142857142857143,57,0.4598245614035088,0.38596491228070173,58,0.2689655172413793,22,0.5909090909090908,36,0.4369444444444444,0.38888888888888884,40,22,18,0.3217499999999999,6,3,3,0.5,34,19,15,0.3508823529411765,0.4411764705882353,0.029132352941176554,-0.008823529411764675,False
NFL-H010,2,recent_edge_success_rate,<=,0.0223211220614142,EFFICIENCY,0.9679330541691874,64,0.36375,19,0.5263157894736843,45,0.45644444444444443,0.37777777777777777,58,0.2689655172413793,18,0.6666666666666667,40,0.5115,0.375,40,22,18,0.3217499999999999,14,10,4,0.2857142857142857,26,12,14,0.10461538461538461,0.5384615384615384,-0.21713461538461531,0.08846153846153848,False
NFL-H010,3,recent_edge_punt_return_average,>=,8.722222222222225,SPECIAL_TEAMS,0.9318798992050752,64,0.36375,7,0.7142857142857143,57,0.4496491228070175,0.38596491228070173,58,0.2689655172413793,6,0.6666666666666667,52,0.31769230769230766,0.4423076923076923,40,22,18,0.3217499999999999,5,4,1,0.19999999999999996,35,18,17,0.22771428571428573,0.48571428571428577,-0.0940357142857142,0.03571428571428581,False
NFL-H010,4,recent_edge_def_allowed_pass_epa_per_dropback,<=,-0.44370093103775526,PASSING,0.8991808379163996,64,0.36375,7,0.5714285714285714,57,0.4054385964912281,0.4035087719298246,58,0.2689655172413793,5,0.8,53,0.35037735849056606,0.4339622641509434,40,22,18,0.3217499999999999,3,2,1,0.33333333333333337,37,20,17,0.2951351351351352,0.45945945945945943,-0.02661486486486475,0.009459459459459474,False
NFL-H010,5,defensive_coordinator_changed,<=,0.0,COACHING,0.8283496767241378,64,0.36375,25,0.56,39,0.59,0.33333333333333337,58,0.2689655172413793,29,0.5172413793103448,29,0.39172413793103444,0.4137931034482759,40,22,18,0.3217499999999999,18,10,8,0.4444444444444444,22,12,10,0.30090909090909096,0.4545454545454546,-0.020840909090908966,0.00454545454545463,False
NFL-H010,6,rank_edge_sack_rate_allowed,>=,17.0,PASS_PROTECTION_RUSH,0.8189096132737204,64,0.36375,15,0.5333333333333333,49,0.4495918367346939,0.3877551020408163,58,0.2689655172413793,12,0.6666666666666667,46,0.40608695652173915,0.4130434782608695,40,22,18,0.3217499999999999,11,9,2,0.18181818181818177,29,13,16,0.022068965517241378,0.5517241379310345,-0.29968103448275857,0.10172413793103452,False
NFL-H010,7,total_line >= 48.45 OR recent_edge_punt_return_average >= 8.72222,COMBO,,OTHER+SPECIAL_TEAMS,1.1555061277802656,64,0.36375,14,0.7142857142857143,50,0.5711999999999999,0.33999999999999997,58,0.2689655172413793,25,0.6,33,0.4842424242424242,0.36363636363636365,40,22,18,0.3217499999999999,10,6,4,0.4,30,16,14,0.28566666666666674,0.4666666666666667,-0.03608333333333319,0.01666666666666672,False
NFL-H016,1,rank_edge_fg_accuracy,<=,-15.8,SPECIAL_TEAMS,1.6353428744495508,85,0.3334117647058824,9,0.8888888888888888,76,0.4617105263157894,0.42105263157894735,46,0.3060869565217391,4,1.0,42,0.4304761904761905,0.4285714285714286,45,23,22,0.2613333333333333,9,7,2,0.2222222222222222,36,16,20,0.11,0.5555555555555556,-0.15133333333333332,0.06666666666666665,False
NFL-H016,2,grass_surface,<=,0.0,OTHER,1.3259759108237223,85,0.3334117647058824,32,0.59375,53,0.5113207547169811,0.39622641509433965,46,0.3060869565217391,21,0.6666666666666667,25,0.7136,0.31999999999999995,45,23,22,0.2613333333333333,27,14,13,0.4814814814814815,18,9,9,0.2611111111111111,0.5,-0.00022222222222217924,0.011111111111111072,False
NFL-H016,3,rank_edge_def_allowed_sack_or_hit_rate,<=,-18.0,PASS_PROTECTION_RUSH,1.1441137462270454,85,0.3334117647058824,10,0.7,75,0.4085333333333334,0.43999999999999995,46,0.3060869565217391,9,0.7777777777777778,37,0.4897297297297298,0.4054054054054054,45,23,22,0.2613333333333333,1,0,1,1.0,44,23,21,0.29,0.4772727272727273,0.028666666666666674,-0.011616161616161635,False
NFL-H016,4,rank_edge_giveaway_rate,<=,-4.0,TURNOVERS,1.0355519077196096,85,0.3334117647058824,36,0.5833333333333333,49,0.5555102040816327,0.3877551020408163,46,0.3060869565217391,12,0.6666666666666667,34,0.48029411764705887,0.4117647058823529,45,23,22,0.2613333333333333,19,8,11,0.5789473684210527,26,15,11,0.4476923076923077,0.42307692307692313,0.18635897435897442,-0.0658119658119658,True
NFL-H016,5,recent_edge_penalty_yards,>=,30.93333333333334,PENALTIES,0.9795362980934967,85,0.3334117647058824,9,0.6666666666666667,76,0.39026315789473687,0.4473684210526315,46,0.3060869565217391,5,0.8,41,0.3985365853658537,0.4390243902439024,45,23,22,0.2613333333333333,1,1,0,0.0,44,22,22,0.235,0.5,-0.02633333333333332,0.011111111111111072,False
NFL-H016,6,recent_edge_passing_cpoe,<=,-1.526082757430238,PASSING,0.9088893024601142,85,0.3334117647058824,34,0.5588235294117647,51,0.49862745098039213,0.4117647058823529,46,0.3060869565217391,14,0.6428571428571428,32,0.4921875,0.40625,45,23,22,0.2613333333333333,19,13,6,0.3157894736842105,26,10,16,-0.07230769230769228,0.6153846153846154,-0.3336410256410256,0.1264957264957265,False
NFL-H016,7,rank_edge_fg_accuracy <= -15.8 AND grass_surface <= 0,COMBO,,SPECIAL_TEAMS+OTHER,1.5684417549628547,85,0.3334117647058824,5,1.0,80,0.41675000000000006,0.4375,46,0.3060869565217391,4,1.0,42,0.4304761904761905,0.4285714285714286,45,23,22,0.2613333333333333,5,4,1,0.19999999999999996,40,19,21,0.186,0.525,-0.07533333333333331,0.036111111111111094,False
NFL-H029,1,rank_edge_punt_return_average,<=,-14.2,SPECIAL_TEAMS,1.1654375660081069,75,0.20839999999999997,8,0.75,67,0.2832835820895523,0.4626865671641791,61,0.20655737704918034,7,0.8571428571428572,54,0.3237037037037037,0.4444444444444444,60,31,29,0.2178333333333333,15,6,9,0.6,45,25,20,0.31,0.4444444444444444,0.0921666666666667,-0.03888888888888886,True
NFL-H029,2,rank_edge_def_allowed_giveaway_rate,>=,19.0,TURNOVERS,1.1252975620008405,75,0.20839999999999997,9,0.6666666666666667,66,0.25363636363636366,0.4696969696969697,61,0.20655737704918034,9,0.8888888888888888,52,0.3613461538461538,0.42307692307692313,60,31,29,0.2178333333333333,4,2,2,0.5,56,29,27,0.21910714285714286,0.4821428571428571,0.001273809523809566,-0.0011904761904761862,False
NFL-H029,3,recent_edge_def_allowed_explosive_rate,>=,0.03336974700686724,EXPLOSIVENESS,1.0401038881883147,75,0.20839999999999997,15,0.8,60,0.3988333333333334,0.41666666666666663,61,0.20655737704918034,13,0.6153846153846154,48,0.28875,0.45833333333333337,60,31,29,0.2178333333333333,18,9,9,0.5,42,22,20,0.23785714285714285,0.47619047619047616,0.020023809523809555,-0.0071428571428571175,False
NFL-H029,4,div_game,>=,1.0,OTHER,1.0230654198260756,75,0.20839999999999997,20,0.55,55,0.2556363636363636,0.4727272727272728,61,0.20655737704918034,26,0.6923076923076923,35,0.5722857142857143,0.34285714285714286,60,31,29,0.2178333333333333,22,16,6,0.2727272727272727,38,15,23,-0.0736842105263158,0.6052631578947368,-0.2915175438596491,0.12192982456140355,False
NFL-H029,5,rank_edge_sack_or_hit_rate,<=,-18.6,PASS_PROTECTION_RUSH,1.0201701352721173,75,0.20839999999999997,8,0.75,67,0.2816417910447762,0.4626865671641791,61,0.20655737704918034,5,0.8,56,0.26999999999999996,0.4642857142857143,60,31,29,0.2178333333333333,8,3,5,0.625,52,28,24,0.27057692307692305,0.46153846153846156,0.05274358974358975,-0.021794871794871717,False
NFL-H029,6,adv_travel_miles,>=,-657.5540081442324,TRAVEL_CIRCADIAN,0.9614002850948542,75,0.20839999999999997,28,0.6785714285714286,47,0.46,0.3829787234042553,61,0.20655737704918034,27,0.5555555555555556,34,0.33558823529411763,0.4411764705882353,60,31,29,0.2178333333333333,26,13,13,0.5,34,18,16,0.25176470588235295,0.47058823529411764,0.03393137254901965,-0.012745098039215641,False
NFL-H029,7,rank_edge_def_allowed_giveaway_rate >= 19 AND recent_edge_def_allowed_explosive_rate >= 0.0333697,COMBO,,TURNOVERS+EXPLOSIVENESS,1.447634666439824,75,0.20839999999999997,4,1.0,71,0.27647887323943665,0.46478873239436624,61,0.20655737704918034,4,1.0,57,0.2912280701754386,0.45614035087719296,60,31,29,0.2178333333333333,0,0,0,,60,31,29,0.2178333333333333,0.4833333333333333,0.0,0.0,False
NFL-H033,1,rank_edge_giveaway_rate,<=,-3.0,TURNOVERS,1.2105834316123343,115,0.24808695652173912,49,0.5918367346938775,66,0.4586363636363636,0.3939393939393939,83,0.1702409638554217,31,0.7096774193548387,52,0.45269230769230784,0.3846153846153846,88,43,45,0.16147727272727277,43,22,21,0.4883720930232558,45,21,24,0.08711111111111113,0.5333333333333333,-0.07436616161616165,0.021969696969696972,False
NFL-H033,2,rank_edge_fg_accuracy,>=,6.899999999999999,SPECIAL_TEAMS,1.0448527152086606,115,0.24808695652173912,35,0.6,80,0.381,0.42500000000000004,83,0.1702409638554217,23,0.7391304347826086,60,0.3788333333333334,0.41666666666666663,88,43,45,0.16147727272727277,30,15,15,0.5,58,28,30,0.1605172413793103,0.5172413793103448,-0.0009600313479624645,0.0058777429467083975,False
NFL-H033,3,rank_edge_sack_rate_allowed,>=,16.60000000000001,PASS_PROTECTION_RUSH,1.0309964154016038,115,0.24808695652173912,12,0.75,103,0.3292233009708738,0.44660194174757284,83,0.1702409638554217,9,0.7777777777777778,74,0.2562162162162162,0.472972972972973,88,43,45,0.16147727272727277,11,8,3,0.2727272727272727,77,35,42,0.06116883116883116,0.5454545454545454,-0.10030844155844162,0.03409090909090906,False
NFL-H033,4,recent_edge_def_allowed_early_down_epa,>=,0.08702328205185253,EFFICIENCY,0.8654065341092496,115,0.24808695652173912,46,0.5652173913043479,69,0.39710144927536234,0.42028985507246375,83,0.1702409638554217,31,0.6451612903225806,52,0.35423076923076924,0.42307692307692313,88,43,45,0.16147727272727277,30,15,15,0.5,58,28,30,0.14120689655172416,0.5172413793103448,-0.02027037617554861,0.0058777429467083975,False
NFL-H033,5,adv_doubtful_players,<=,-1.0,OTHER,0.817921080837073,115,0.24808695652173912,23,0.5652173913043479,92,0.30119565217391303,0.4565217391304348,83,0.1702409638554217,21,0.7142857142857143,62,0.35403225806451616,0.4354838709677419,88,43,45,0.16147727272727277,12,6,6,0.5,76,37,39,0.15592105263157893,0.513157894736842,-0.005556220095693842,0.0017942583732056816,False
NFL-H033,6,adv_out_players,>=,2.799999999999997,INJURY_AVAILABILITY,0.7778496282507581,115,0.24808695652173912,8,0.625,107,0.27242990654205607,0.4672897196261683,83,0.1702409638554217,5,0.8,78,0.21884615384615386,0.4871794871794872,88,43,45,0.16147727272727277,21,12,9,0.4285714285714286,67,31,36,0.10492537313432837,0.5373134328358209,-0.056551899592944405,0.02594979647218454,False
NFL-H033,7,rank_edge_fg_accuracy >= 6.9 OR rank_edge_sack_rate_allowed >= 16.6,COMBO,,SPECIAL_TEAMS+PASS_PROTECTION_RUSH,1.2876031064662465,115,0.24808695652173912,42,0.6428571428571428,73,0.48534246575342477,0.3835616438356164,83,0.1702409638554217,30,0.7333333333333334,53,0.48226415094339625,0.37735849056603776,88,43,45,0.16147727272727277,38,20,18,0.4736842105263158,50,23,27,0.08320000000000002,0.54,-0.07827727272727275,0.028636363636363682,False
