method_id,existing_method,intersection,jaccard
US004,NFL-H017,67,0.17402597402597403
US004,NFL-H036,32,0.10561056105610561
US004,NFL-H033,69,0.15681818181818183
US004,NFL-H035,32,0.10062893081761007
US004,CO001,0,0.0
US004,CO005,15,0.043478260869565216
US004,CO026,0,0.0
US004,CO009,0,0.0
US004,CO048,0,0.0
US004,CO043,0,0.0
US004,CO061,0,0.0
US004,CO017,12,0.035398230088495575
US004,CO016,0,0.0
US004,CO018,0,0.0
US005,NFL-H005,17,0.06390977443609022
US005,NFL-H010,19,0.06551724137931035
US005,NFL-H002,26,0.07784431137724551
US005,NFL-H003,34,0.10240963855421686
US005,NFL-H008,17,0.049707602339181284
US005,NFL-H027,20,0.066006600660066
US005,NFL-H028,27,0.09090909090909091
US005,NFL-H029,21,0.0584958217270195
US005,NFL-H017,54,0.1409921671018277
US005,NFL-H036,23,0.07744107744107744
US005,NFL-H033,37,0.08096280087527352
US005,NFL-H035,21,0.06687898089171974
US005,CO001,0,0.0
US005,CO005,16,0.0486322188449848
US005,CO026,18,0.05732484076433121
US005,CO009,0,0.0
US005,CO048,0,0.0
US005,CO043,0,0.0
US005,CO061,0,0.0
US005,CO017,11,0.033846153846153845
US005,CO016,0,0.0
US005,CO018,0,0.0
US006,NFL-H005,0,0.0
US006,NFL-H010,0,0.0
US006,NFL-H002,0,0.0
US006,NFL-H003,0,0.0
US006,NFL-H008,3,0.013452914798206279
US006,NFL-H027,0,0.0
US006,NFL-H028,0,0.0
US006,NFL-H029,0,0.0
US006,NFL-H017,0,0.0
US006,NFL-H036,0,0.0
US006,NFL-H033,0,0.0
US006,NFL-H035,0,0.0
US006,CO001,0,0.0
US006,CO005,11,0.05472636815920398
US006,CO026,17,0.09340659340659341
US006,CO009,0,0.0
US006,CO048,0,0.0
US006,CO043,0,0.0
US006,CO061,0,0.0
US006,CO017,8,0.041025641025641026
US006,CO016,0,0.0
US006,CO018,0,0.0
US007,NFL-H005,0,0.0
US007,NFL-H010,0,0.0
US007,NFL-H002,0,0.0
US007,NFL-H003,0,0.0
US007,NFL-H008,0,0.0
US007,NFL-H027,0,0.0
US007,NFL-H028,0,0.0
US007,NFL-H029,0,0.0
US007,NFL-H017,0,0.0
US007,NFL-H036,0,0.0
US007,NFL-H033,0,0.0
US007,NFL-H035,0,0.0
US007,CO001,0,0.0
US007,CO005,0,0.0
US007,CO026,0,0.0
US007,CO009,0,0.0
US007,CO048,0,0.0
US007,CO043,0,0.0
US007,CO061,0,0.0
US007,CO017,0,0.0
US007,CO016,55,0.1909722222222222
US007,CO018,0,0.0
US008,NFL-H005,21,0.06666666666666667
US008,NFL-H010,23,0.06784660766961652
US008,NFL-H002,33,0.0868421052631579
US008,NFL-H003,29,0.07435897435897436
US008,NFL-H008,25,0.06459948320413436
US008,NFL-H027,20,0.056179775280898875
US008,NFL-H028,20,0.056022408963585436
US008,NFL-H029,5,0.011682242990654205
US008,NFL-H017,38,0.084070796460177
US008,NFL-H036,40,0.12012012012012012
US008,NFL-H033,28,0.05394990366088632
US008,NFL-H035,30,0.08379888268156424
US008,CO001,0,0.0
US008,CO005,16,0.041884816753926704
US008,CO026,35,0.1
US008,CO009,0,0.0
US008,CO048,0,0.0
US008,CO043,0,0.0
US008,CO061,0,0.0
US008,CO017,10,0.026385224274406333
US008,CO016,0,0.0
US008,CO018,0,0.0
US009,NFL-H005,7,0.021212121212121213
US009,NFL-H010,9,0.025423728813559324
US009,NFL-H002,34,0.08947368421052632
US009,NFL-H003,20,0.05
US009,NFL-H008,24,0.061696658097686374
US009,NFL-H027,15,0.04143646408839779
US009,NFL-H028,17,0.04709141274238227
US009,NFL-H029,37,0.09319899244332494
US009,NFL-H017,34,0.07439824945295405
US009,NFL-H036,15,0.04178272980501393
US009,NFL-H033,72,0.15126050420168066
US009,NFL-H035,16,0.04289544235924933
US009,CO001,0,0.0
US009,CO005,38,0.10526315789473684
US009,CO026,38,0.10919540229885058
US009,CO009,0,0.0
US009,CO048,0,0.0
US009,CO043,0,0.0
US009,CO061,0,0.0
US009,CO017,50,0.14705882352941177
US009,CO016,0,0.0
US009,CO018,0,0.0
US010,NFL-H005,0,0.0
US010,NFL-H010,0,0.0
US010,NFL-H002,0,0.0
US010,NFL-H003,0,0.0
US010,NFL-H008,0,0.0
US010,NFL-H027,0,0.0
US010,NFL-H028,0,0.0
US010,NFL-H029,0,0.0
US010,NFL-H017,0,0.0
US010,NFL-H036,0,0.0
US010,NFL-H033,0,0.0
US010,NFL-H035,0,0.0
US010,CO001,0,0.0
US010,CO005,0,0.0
US010,CO026,0,0.0
US010,CO009,0,0.0
US010,CO048,0,0.0
US010,CO043,0,0.0
US010,CO061,0,0.0
US010,CO017,0,0.0
US010,CO016,0,0.0
US010,CO018,7,0.029045643153526972
US011,NFL-H005,27,0.07397260273972603
US011,NFL-H010,50,0.1358695652173913
US011,NFL-H002,58,0.1411192214111922
US011,NFL-H003,70,0.1728395061728395
US011,NFL-H008,38,0.08837209302325581
US011,NFL-H027,39,0.09923664122137404
US011,NFL-H028,45,0.11597938144329897
US011,NFL-H029,22,0.047109207708779445
US011,NFL-H017,85,0.1843817787418655
US011,NFL-H036,55,0.14705882352941177
US011,NFL-H033,89,0.17315175097276264
US011,NFL-H035,52,0.1326530612244898
US011,CO001,0,0.0
US011,CO005,18,0.04128440366972477
US011,CO026,0,0.0
US011,CO009,0,0.0
US011,CO048,0,0.0
US011,CO043,0,0.0
US011,CO061,0,0.0
US011,CO017,21,0.049528301886792456
US011,CO016,0,0.0
US011,CO018,0,0.0
