method_id,season,week,game_id,team,opponent,moneyline,market_prob
RS002,2025,17,2025_17_CHI_SF,CHI,SF,170.0,0.37037037037037035
RS002,2010,5,2010_05_ATL_CLE,CLE,ATL,144.0,0.4098360655737705
RS002,2023,4,2023_04_BAL_CLE,CLE,BAL,114.0,0.4672897196261682
RS002,2023,13,2023_13_CLE_LA,CLE,LA,160.0,0.38461538461538464
RS002,2023,5,2023_05_DAL_SF,DAL,SF,150.0,0.4
RS002,2007,5,2007_05_SD_DEN,DEN,LAC,113.0,0.4694835680751174
RS002,2017,5,2017_05_KC_HOU,HOU,KC,116.0,0.46296296296296297
RS002,2019,14,2019_14_IND_TB,IND,TB,149.0,0.40160642570281124
RS002,2025,4,2025_04_IND_LA,IND,LA,154.0,0.3937007874015748
RS002,2007,7,2007_07_IND_JAX,JAC,IND,148.0,0.4032258064516129
RS002,2007,9,2007_09_JAX_NO,JAC,NO,181.0,0.35587188612099646
RS002,2010,6,2010_06_TEN_JAX,JAC,TEN,129.0,0.4366812227074236
RS002,2017,11,2017_11_LA_MIN,LA,MIN,106.0,0.4854368932038835
RS002,2015,9,2015_09_STL_MIN,LA,MIN,111.0,0.47393364928909953
RS002,2007,11,2007_11_SD_JAX,LAC,JAC,154.0,0.3937007874015748
RS002,2007,10,2007_10_CHI_OAK,LV,CHI,173.0,0.3663003663003663
RS002,2011,13,2011_13_OAK_MIA,LV,MIA,152.0,0.3968253968253968
RS002,2008,6,2008_06_MIA_HOU,MIA,HOU,143.0,0.411522633744856
RS002,2009,17,2009_17_PIT_MIA,MIA,PIT,133.0,0.4291845493562232
RS002,2008,15,2008_15_NYG_DAL,NYG,DAL,141.0,0.4149377593360996
RS002,2014,6,2014_06_NYG_PHI,NYG,PHI,106.0,0.4854368932038835
RS002,2023,13,2023_13_SF_PHI,PHI,SF,124.0,0.44642857142857145
RS002,2025,11,2025_11_SEA_LA,SEA,LA,145.0,0.40816326530612246
RS002,2012,16,2012_16_SF_SEA,SF,SEA,122.0,0.45045045045045046
RS002,2013,11,2013_11_SF_NO,SF,NO,159.0,0.3861003861003861
RS002,2016,5,2016_05_ARI_SF,SF,ARI,169.0,0.37174721189591076
RS002,2013,5,2013_05_KC_TEN,TEN,KC,119.0,0.45662100456621
RS002,2017,5,2017_05_TEN_MIA,TEN,MIA,102.0,0.49504950495049505
RS002,2020,16,2020_16_TEN_GB,TEN,GB,159.0,0.3861003861003861
RS002,2006,14,2006_14_PHI_WAS,WAS,PHI,112.0,0.4716981132075472
RS002,2006,17,2006_17_NYG_WAS,WAS,NYG,106.0,0.4854368932038835
RS002,2025,11,2025_11_WAS_MIA,WAS,MIA,124.0,0.44642857142857145
RS003,2024,13,2024_13_ARI_MIN,ARI,MIN,154.0,0.3937007874015748
RS003,2006,11,2006_11_ATL_BAL,ATL,BAL,161.0,0.3831417624521073
RS003,2006,15,2006_15_DAL_ATL,ATL,DAL,179.0,0.35842293906810035
RS003,2010,6,2010_06_ATL_PHI,ATL,PHI,107.0,0.4830917874396135
RS003,2022,12,2022_12_ATL_WAS,ATL,WAS,163.0,0.38022813688212925
RS003,2017,4,2017_04_PIT_BAL,BAL,PIT,166.0,0.37593984962406013
RS003,2022,15,2022_15_BAL_CLE,BAL,CLE,139.0,0.41841004184100417
RS003,2012,4,2012_04_NE_BUF,BUF,NE,175.0,0.36363636363636365
RS003,2013,5,2013_05_BUF_CLE,BUF,CLE,166.0,0.37593984962406013
RS003,2013,10,2013_10_BUF_PIT,BUF,PIT,129.0,0.4366812227074236
RS003,2017,5,2017_05_BUF_CIN,BUF,CIN,136.0,0.423728813559322
RS003,2009,12,2009_12_CAR_NYJ,CAR,NYJ,153.0,0.3952569169960474
RS003,2022,17,2022_17_CAR_TB,CAR,TB,164.0,0.3787878787878788
RS003,2008,10,2008_10_TEN_CHI,CHI,TEN,119.0,0.45662100456621
RS003,2012,11,2012_11_CHI_SF,CHI,SF,171.0,0.36900369003690037
RS003,2022,13,2022_13_GB_CHI,CHI,GB,163.0,0.38022813688212925
RS003,2023,15,2023_15_CHI_CLE,CHI,CLE,124.0,0.44642857142857145
RS003,2025,8,2025_08_CHI_BAL,CHI,BAL,124.0,0.44642857142857145
RS003,2025,17,2025_17_CHI_SF,CHI,SF,170.0,0.37037037037037035
RS003,2015,16,2015_16_CIN_DEN,CIN,DEN,166.0,0.37593984962406013
RS003,2010,10,2010_10_NYJ_CLE,CLE,NYJ,166.0,0.37593984962406013
RS003,2020,14,2020_14_BAL_CLE,CLE,BAL,156.0,0.390625
RS003,2022,14,2022_14_CLE_CIN,CLE,CIN,181.0,0.35587188612099646
RS003,2017,10,2017_10_DAL_ATL,DAL,ATL,166.0,0.37593984962406013
RS003,2023,5,2023_05_DAL_SF,DAL,SF,150.0,0.4
RS003,2006,12,2006_12_DEN_KC,DEN,KC,109.0,0.4784688995215311
RS003,2023,7,2023_07_DET_BAL,DET,BAL,136.0,0.423728813559322
RS003,2025,6,2025_06_DET_KC,DET,KC,120.0,0.45454545454545453
RS003,2025,11,2025_11_DET_PHI,DET,PHI,130.0,0.43478260869565216
RS003,2024,14,2024_14_GB_DET,GB,DET,142.0,0.4132231404958678
RS003,2019,9,2019_09_IND_PIT,IND,PIT,107.0,0.4830917874396135
RS003,2019,14,2019_14_IND_TB,IND,TB,149.0,0.40160642570281124
RS003,2024,8,2024_08_IND_HOU,IND,HOU,185.0,0.3508771929824561
RS003,2007,7,2007_07_IND_JAX,JAC,IND,148.0,0.4032258064516129
RS003,2007,9,2007_09_JAX_NO,JAC,NO,181.0,0.35587188612099646
RS003,2010,6,2010_06_TEN_JAX,JAC,TEN,129.0,0.4366812227074236
RS003,2011,5,2011_05_CIN_JAX,JAC,CIN,123.0,0.4484304932735426
RS003,2006,10,2006_10_KC_MIA,KC,MIA,120.0,0.45454545454545453
RS003,2012,11,2012_11_CIN_KC,KC,CIN,149.0,0.40160642570281124
RS003,2014,5,2014_05_KC_SF,KC,SF,181.0,0.35587188612099646
RS003,2017,11,2017_11_LA_MIN,LA,MIN,106.0,0.4854368932038835
RS003,2008,9,2008_09_ATL_OAK,LV,ATL,126.0,0.4424778761061947
RS003,2010,16,2010_16_IND_OAK,LV,IND,112.0,0.4716981132075472
RS003,2011,13,2011_13_OAK_MIA,LV,MIA,152.0,0.3968253968253968
RS003,2011,15,2011_15_DET_OAK,LV,DET,130.0,0.43478260869565216
RS003,2009,17,2009_17_PIT_MIA,MIA,PIT,133.0,0.4291845493562232
RS003,2015,13,2015_13_SEA_MIN,MIN,SEA,131.0,0.4329004329004329
RS003,2020,8,2020_08_NE_BUF,NE,BUF,175.0,0.36363636363636365
RS003,2024,5,2024_05_MIA_NE,NE,MIA,110.0,0.47619047619047616
RS003,2021,11,2021_11_NO_PHI,NO,PHI,130.0,0.43478260869565216
RS003,2024,4,2024_04_NO_ATL,NO,ATL,120.0,0.45454545454545453
RS003,2024,7,2024_07_DEN_NO,NO,DEN,124.0,0.44642857142857145
RS003,2007,10,2007_10_DAL_NYG,NYG,DAL,123.0,0.4484304932735426
RS003,2014,6,2014_06_NYG_PHI,NYG,PHI,106.0,0.4854368932038835
RS003,2014,9,2014_09_IND_NYG,NYG,IND,135.0,0.425531914893617
RS003,2022,13,2022_13_WAS_NYG,NYG,WAS,113.0,0.4694835680751174
RS003,2006,8,2006_08_NYJ_CLE,NYJ,CLE,120.0,0.45454545454545453
RS003,2012,4,2012_04_SF_NYJ,NYJ,SF,171.0,0.36900369003690037
RS003,2023,13,2023_13_SF_PHI,PHI,SF,124.0,0.44642857142857145
RS003,2006,5,2006_05_PIT_SD,PIT,LAC,169.0,0.37174721189591076
RS003,2010,8,2010_08_PIT_NO,PIT,NO,106.0,0.4854368932038835
RS003,2024,17,2024_17_KC_PIT,PIT,KC,136.0,0.423728813559322
RS003,2006,4,2006_04_SEA_CHI,SEA,CHI,180.0,0.35714285714285715
RS003,2019,14,2019_14_SEA_LA,SEA,LA,109.0,0.4784688995215311
RS003,2011,12,2011_12_SF_BAL,SF,BAL,159.0,0.3861003861003861
RS003,2016,5,2016_05_ARI_SF,SF,ARI,169.0,0.37174721189591076
RS003,2023,6,2023_06_DET_TB,TB,DET,136.0,0.423728813559322
RS003,2013,7,2013_07_SF_TEN,TEN,SF,139.0,0.41841004184100417
RS003,2016,9,2016_09_TEN_SD,TEN,LAC,161.0,0.3831417624521073
RS003,2018,6,2018_06_BAL_TEN,TEN,BAL,124.0,0.44642857142857145
RS003,2018,12,2018_12_TEN_HOU,TEN,HOU,171.0,0.36900369003690037
RS003,2020,10,2020_10_IND_TEN,TEN,IND,105.0,0.4878048780487805
RS003,2006,11,2006_11_WAS_TB,WAS,TB,155.0,0.39215686274509803
RS003,2006,14,2006_14_PHI_WAS,WAS,PHI,112.0,0.4716981132075472
RS003,2006,17,2006_17_NYG_WAS,WAS,NYG,106.0,0.4854368932038835
RS003,2007,12,2007_12_WAS_TB,WAS,TB,171.0,0.36900369003690037
RS003,2012,5,2012_05_ATL_WAS,WAS,ATL,142.0,0.4132231404958678
RS003,2025,11,2025_11_WAS_MIA,WAS,MIA,124.0,0.44642857142857145
